Year,Units,Zeitreihe,Gebiet,Geschlecht,Value
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,19.7
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,17.5
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,16.0
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,14.0
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,13.1
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,12.5
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,12.5
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,11.8
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,12.5
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,13.1
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,,12.1
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,20.5
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,18.3
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,16.9
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,14.9
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,13.9
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,13.3
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,13.2
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,12.2
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,13.2
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,13.8
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Weiblich,12.6
2014,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,18.8
2015,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,16.5
2016,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,15.1
2017,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,13.2
2018,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,12.1
2019,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,11.7
2020,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,11.8
2021,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,11.3
2022,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,11.9
2023,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,12.3
2024,Prozent,a) Materielle und soziale Deprivation,Europäische Union,Männlich,11.5
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,12.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,11.2
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,9.6
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,8.3
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,7.6
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,6.5
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,,9.1
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,11.7
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,12.7
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,11.4
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,13.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,12.2
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,10.5
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,9.0
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,8.2
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,7.0
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,9.3
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,11.8
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,12.9
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,Weiblich,11.4
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,Männlich,11.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,Männlich,10.2
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,Männlich,8.6
