Year,Units,Zeitreihe,Gebiet,Geschlecht,Value
2010,Prozent,Materielle Deprivation,Europäische Union,,17.8
2011,Prozent,Materielle Deprivation,Europäische Union,,18.5
2012,Prozent,Materielle Deprivation,Europäische Union,,19.8
2013,Prozent,Materielle Deprivation,Europäische Union,,19.5
2014,Prozent,Materielle Deprivation,Europäische Union,,19.7
2015,Prozent,Materielle Deprivation,Europäische Union,,17.5
2016,Prozent,Materielle Deprivation,Europäische Union,,16.0
2017,Prozent,Materielle Deprivation,Europäische Union,,14.0
2018,Prozent,Materielle Deprivation,Europäische Union,,13.1
2019,Prozent,Materielle Deprivation,Europäische Union,,12.4
2020,Prozent,Materielle Deprivation,Europäische Union,,12.7
2021,Prozent,Materielle Deprivation,Europäische Union,,11.9
2010,Prozent,Materielle Deprivation,Europäische Union,Weiblich,18.4
2011,Prozent,Materielle Deprivation,Europäische Union,Weiblich,19.1
2012,Prozent,Materielle Deprivation,Europäische Union,Weiblich,20.3
2013,Prozent,Materielle Deprivation,Europäische Union,Weiblich,20.1
2014,Prozent,Materielle Deprivation,Europäische Union,Weiblich,20.5
2015,Prozent,Materielle Deprivation,Europäische Union,Weiblich,18.3
2016,Prozent,Materielle Deprivation,Europäische Union,Weiblich,16.9
2017,Prozent,Materielle Deprivation,Europäische Union,Weiblich,14.9
2018,Prozent,Materielle Deprivation,Europäische Union,Weiblich,13.9
2019,Prozent,Materielle Deprivation,Europäische Union,Weiblich,13.2
2020,Prozent,Materielle Deprivation,Europäische Union,Weiblich,13.3
2021,Prozent,Materielle Deprivation,Europäische Union,Weiblich,12.3
2010,Prozent,Materielle Deprivation,Europäische Union,Männlich,17.2
2011,Prozent,Materielle Deprivation,Europäische Union,Männlich,17.8
2012,Prozent,Materielle Deprivation,Europäische Union,Männlich,19.1
2013,Prozent,Materielle Deprivation,Europäische Union,Männlich,18.9
2014,Prozent,Materielle Deprivation,Europäische Union,Männlich,18.8
2015,Prozent,Materielle Deprivation,Europäische Union,Männlich,16.5
2016,Prozent,Materielle Deprivation,Europäische Union,Männlich,15.1
2017,Prozent,Materielle Deprivation,Europäische Union,Männlich,13.2
2018,Prozent,Materielle Deprivation,Europäische Union,Männlich,12.1
2019,Prozent,Materielle Deprivation,Europäische Union,Männlich,11.5
2020,Prozent,Materielle Deprivation,Europäische Union,Männlich,12.0
2021,Prozent,Materielle Deprivation,Europäische Union,Männlich,11.4
2010,Prozent,Materielle Deprivation,Deutschland,,11.1
