Year,Value,Units,Series
2015,100.0,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2016,136.802,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2017,147.738,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2018,197.464,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2019,204.067,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2020,212.886,2015 = 100,Paper bearing the Blue Angel label as a proportion of the total paper consumption of the direct federal administration
2015,100.0,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
2016,99.978,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
2017,100.046,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
2018,99.985,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
2019,100.63,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
2020,101.773,2015 = 100,CO₂ emissions of commercially available vehicles in the public sector
