Year,Value,Units,Series
2006,23.0,Percentage,XXXUnbereinigter Gender Pay Gap
2007,23.0,Percentage,XXXUnbereinigter Gender Pay Gap
2008,23.0,Percentage,XXXUnbereinigter Gender Pay Gap
2009,23.0,Percentage,XXXUnbereinigter Gender Pay Gap
2010,22.0,Percentage,XXXUnbereinigter Gender Pay Gap
2011,22.0,Percentage,XXXUnbereinigter Gender Pay Gap
2012,23.0,Percentage,XXXUnbereinigter Gender Pay Gap
2013,22.0,Percentage,XXXUnbereinigter Gender Pay Gap
2014,22.0,Percentage,XXXUnbereinigter Gender Pay Gap
2015,22.0,Percentage,XXXUnbereinigter Gender Pay Gap
2016,21.0,Percentage,XXXUnbereinigter Gender Pay Gap
2017,20.0,Percentage,XXXUnbereinigter Gender Pay Gap
2018,20.0,Percentage,XXXUnbereinigter Gender Pay Gap
2019,19.0,Percentage,XXXUnbereinigter Gender Pay Gap
2020,18.0,Percentage,XXXUnbereinigter Gender Pay Gap
2021,18.0,Percentage,XXXUnbereinigter Gender Pay Gap
2022,18.0,Percentage,XXXUnbereinigter Gender Pay Gap
2023,18.0,Percentage,XXXUnbereinigter Gender Pay Gap
2024,16.0,Percentage,XXXUnbereinigter Gender Pay Gap
2006,8.0,Percentage,XXXBereinigter Gender Pay Gap
2007,,Percentage,XXXBereinigter Gender Pay Gap
2008,,Percentage,XXXBereinigter Gender Pay Gap
2009,,Percentage,XXXBereinigter Gender Pay Gap
2010,7.0,Percentage,XXXBereinigter Gender Pay Gap
2011,,Percentage,XXXBereinigter Gender Pay Gap
2012,,Percentage,XXXBereinigter Gender Pay Gap
2013,,Percentage,XXXBereinigter Gender Pay Gap
2014,6.0,Percentage,XXXBereinigter Gender Pay Gap
2015,,Percentage,XXXBereinigter Gender Pay Gap
2016,,Percentage,XXXBereinigter Gender Pay Gap
2017,,Percentage,XXXBereinigter Gender Pay Gap
2018,6.0,Percentage,XXXBereinigter Gender Pay Gap
2019,,Percentage,XXXBereinigter Gender Pay Gap
2020,,Percentage,XXXBereinigter Gender Pay Gap
2021,,Percentage,XXXBereinigter Gender Pay Gap
2022,7.0,Percentage,XXXBereinigter Gender Pay Gap
2023,6.0,Percentage,XXXBereinigter Gender Pay Gap
2024,6.0,Percentage,XXXBereinigter Gender Pay Gap
