Year,Units,Zeitreihe,Geschlecht,Value
2003,Prozent,c) Jugendliche,,22.5
2004,Prozent,c) Jugendliche,,23.5
2005,Prozent,c) Jugendliche,,20.0
2007,Prozent,c) Jugendliche,,17.7
2008,Prozent,c) Jugendliche,,15.4
2009,Prozent,c) Jugendliche,,
2010,Prozent,c) Jugendliche,,12.9
2011,Prozent,c) Jugendliche,,11.7
2012,Prozent,c) Jugendliche,,12.0
2013,Prozent,c) Jugendliche,,
2014,Prozent,c) Jugendliche,,9.7
2015,Prozent,c) Jugendliche,,9.6
2016,Prozent,c) Jugendliche,,8.3
2017,Prozent,c) Jugendliche,,
2018,Prozent,c) Jugendliche,,8.7
2019,Prozent,c) Jugendliche,,7.2
2021,Prozent,c) Jugendliche,,6.1
2023,Prozent,c) Jugendliche,,6.8
2006,Prozent,c) Jugendliche,,
2020,Prozent,c) Jugendliche,,
2022,Prozent,c) Jugendliche,,
2030,Prozent,c) Jugendliche,,
2003,Prozent,c) Jugendliche,Weiblich,23.2
2004,Prozent,c) Jugendliche,Weiblich,22.7
2005,Prozent,c) Jugendliche,Weiblich,19.3
2007,Prozent,c) Jugendliche,Weiblich,17.5
2008,Prozent,c) Jugendliche,Weiblich,16.2
2009,Prozent,c) Jugendliche,Weiblich,
2010,Prozent,c) Jugendliche,Weiblich,11.5
2011,Prozent,c) Jugendliche,Weiblich,12.4
2012,Prozent,c) Jugendliche,Weiblich,12.6
2013,Prozent,c) Jugendliche,Weiblich,
2014,Prozent,c) Jugendliche,Weiblich,8.9
2015,Prozent,c) Jugendliche,Weiblich,10.0
2016,Prozent,c) Jugendliche,Weiblich,6.1
2017,Prozent,c) Jugendliche,Weiblich,
2018,Prozent,c) Jugendliche,Weiblich,8.3
2019,Prozent,c) Jugendliche,Weiblich,6.3
2021,Prozent,c) Jugendliche,Weiblich,6.8
2023,Prozent,c) Jugendliche,Weiblich,6.4
2006,Prozent,c) Jugendliche,Weiblich,
2020,Prozent,c) Jugendliche,Weiblich,
2022,Prozent,c) Jugendliche,Weiblich,
2003,Prozent,c) Jugendliche,Männlich,21.9
2004,Prozent,c) Jugendliche,Männlich,24.2
2005,Prozent,c) Jugendliche,Männlich,20.7
