Year,Units,Series,Value
2015,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2016,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2017,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2018,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2019,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2020,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2021,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,12.6
2022,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,12.8
2023,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,14.0
2026,Percentage,XXXa) Nachhaltigkeit in Vergabeverfahren,
2015,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,100.0
2016,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.954
2017,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.679
2018,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.854
2019,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,100.427
2020,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,101.93
2021,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,102.998
2022,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,101.606
2023,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2026,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2015,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2016,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2017,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2018,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2019,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2020,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2021,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2022,Percentage,XXXc) Nachhaltige Textilbeschaffung,
2023,Percentage,XXXc) Nachhaltige Textilbeschaffung,0.0
2026,Percentage,XXXc) Nachhaltige Textilbeschaffung,
