Year,Units,Time series,Area,Sex,Value
2014,Percentage,a) Material and social deprivation,European Union,,19.7
2015,Percentage,a) Material and social deprivation,European Union,,17.5
2016,Percentage,a) Material and social deprivation,European Union,,16.0
2017,Percentage,a) Material and social deprivation,European Union,,14.0
2018,Percentage,a) Material and social deprivation,European Union,,13.1
2019,Percentage,a) Material and social deprivation,European Union,,12.5
2020,Percentage,a) Material and social deprivation,European Union,,12.5
2021,Percentage,a) Material and social deprivation,European Union,,11.8
2022,Percentage,a) Material and social deprivation,European Union,,12.5
2023,Percentage,a) Material and social deprivation,European Union,,13.1
2024,Percentage,a) Material and social deprivation,European Union,,12.1
2014,Percentage,a) Material and social deprivation,European Union,Female,20.5
2015,Percentage,a) Material and social deprivation,European Union,Female,18.3
2016,Percentage,a) Material and social deprivation,European Union,Female,16.9
2017,Percentage,a) Material and social deprivation,European Union,Female,14.9
2018,Percentage,a) Material and social deprivation,European Union,Female,13.9
2019,Percentage,a) Material and social deprivation,European Union,Female,13.3
2020,Percentage,a) Material and social deprivation,European Union,Female,13.2
2021,Percentage,a) Material and social deprivation,European Union,Female,12.2
2022,Percentage,a) Material and social deprivation,European Union,Female,13.2
2023,Percentage,a) Material and social deprivation,European Union,Female,13.8
2024,Percentage,a) Material and social deprivation,European Union,Female,12.6
2014,Percentage,a) Material and social deprivation,European Union,Male,18.8
2015,Percentage,a) Material and social deprivation,European Union,Male,16.5
2016,Percentage,a) Material and social deprivation,European Union,Male,15.1
2017,Percentage,a) Material and social deprivation,European Union,Male,13.2
2018,Percentage,a) Material and social deprivation,European Union,Male,12.1
2019,Percentage,a) Material and social deprivation,European Union,Male,11.7
2020,Percentage,a) Material and social deprivation,European Union,Male,11.8
2021,Percentage,a) Material and social deprivation,European Union,Male,11.3
2022,Percentage,a) Material and social deprivation,European Union,Male,11.9
2023,Percentage,a) Material and social deprivation,European Union,Male,12.3
2024,Percentage,a) Material and social deprivation,European Union,Male,11.5
2014,Percentage,a) Material and social deprivation,Germany,,12.3
2015,Percentage,a) Material and social deprivation,Germany,,11.2
2016,Percentage,a) Material and social deprivation,Germany,,9.6
2017,Percentage,a) Material and social deprivation,Germany,,8.3
2018,Percentage,a) Material and social deprivation,Germany,,7.6
2019,Percentage,a) Material and social deprivation,Germany,,6.5
2020,Percentage,a) Material and social deprivation,Germany,,9.1
2021,Percentage,a) Material and social deprivation,Germany,,9.0
2022,Percentage,a) Material and social deprivation,Germany,,11.7
2023,Percentage,a) Material and social deprivation,Germany,,12.7
2024,Percentage,a) Material and social deprivation,Germany,,11.4
2014,Percentage,a) Material and social deprivation,Germany,Female,13.3
2015,Percentage,a) Material and social deprivation,Germany,Female,12.2
2016,Percentage,a) Material and social deprivation,Germany,Female,10.5
2017,Percentage,a) Material and social deprivation,Germany,Female,9.0
2018,Percentage,a) Material and social deprivation,Germany,Female,8.2
2019,Percentage,a) Material and social deprivation,Germany,Female,7.0
2020,Percentage,a) Material and social deprivation,Germany,Female,9.3
2021,Percentage,a) Material and social deprivation,Germany,Female,9.0
2022,Percentage,a) Material and social deprivation,Germany,Female,11.8
2023,Percentage,a) Material and social deprivation,Germany,Female,12.9
2024,Percentage,a) Material and social deprivation,Germany,Female,11.4
2014,Percentage,a) Material and social deprivation,Germany,Male,11.3
2015,Percentage,a) Material and social deprivation,Germany,Male,10.2
2016,Percentage,a) Material and social deprivation,Germany,Male,8.6
2017,Percentage,a) Material and social deprivation,Germany,Male,7.6
2018,Percentage,a) Material and social deprivation,Germany,Male,7.0
2019,Percentage,a) Material and social deprivation,Germany,Male,6.0
2020,Percentage,a) Material and social deprivation,Germany,Male,8.9
2021,Percentage,a) Material and social deprivation,Germany,Male,9.0
2022,Percentage,a) Material and social deprivation,Germany,Male,11.6
2023,Percentage,a) Material and social deprivation,Germany,Male,12.5
2024,Percentage,a) Material and social deprivation,Germany,Male,11.4
2014,Percentage,b) Severe material and social deprivation,European Union,,
2015,Percentage,b) Severe material and social deprivation,European Union,,9.3
2016,Percentage,b) Severe material and social deprivation,European Union,,8.7
2017,Percentage,b) Severe material and social deprivation,European Union,,7.5
2018,Percentage,b) Severe material and social deprivation,European Union,,6.8
2019,Percentage,b) Severe material and social deprivation,European Union,,6.7
2020,Percentage,b) Severe material and social deprivation,European Union,,6.7
2021,Percentage,b) Severe material and social deprivation,European Union,,6.3
2022,Percentage,b) Severe material and social deprivation,European Union,,6.7
2023,Percentage,b) Severe material and social deprivation,European Union,,6.8
2024,Percentage,b) Severe material and social deprivation,European Union,,6.4
2014,Percentage,b) Severe material and social deprivation,European Union,Female,
2015,Percentage,b) Severe material and social deprivation,European Union,Female,9.9
2016,Percentage,b) Severe material and social deprivation,European Union,Female,9.3
2017,Percentage,b) Severe material and social deprivation,European Union,Female,7.9
2018,Percentage,b) Severe material and social deprivation,European Union,Female,7.2
2019,Percentage,b) Severe material and social deprivation,European Union,Female,7.1
2020,Percentage,b) Severe material and social deprivation,European Union,Female,7.1
2021,Percentage,b) Severe material and social deprivation,European Union,Female,6.5
2022,Percentage,b) Severe material and social deprivation,European Union,Female,7.0
2023,Percentage,b) Severe material and social deprivation,European Union,Female,7.2
2024,Percentage,b) Severe material and social deprivation,European Union,Female,6.6
2014,Percentage,b) Severe material and social deprivation,European Union,Male,
2015,Percentage,b) Severe material and social deprivation,European Union,Male,8.8
2016,Percentage,b) Severe material and social deprivation,European Union,Male,8.1
2017,Percentage,b) Severe material and social deprivation,European Union,Male,7.0
2018,Percentage,b) Severe material and social deprivation,European Union,Male,6.3
2019,Percentage,b) Severe material and social deprivation,European Union,Male,6.2
2020,Percentage,b) Severe material and social deprivation,European Union,Male,6.4
2021,Percentage,b) Severe material and social deprivation,European Union,Male,6.0
2022,Percentage,b) Severe material and social deprivation,European Union,Male,6.3
2023,Percentage,b) Severe material and social deprivation,European Union,Male,6.5
2024,Percentage,b) Severe material and social deprivation,European Union,Male,6.2
2014,Percentage,b) Severe material and social deprivation,Germany,,
2015,Percentage,b) Severe material and social deprivation,Germany,,5.7
2016,Percentage,b) Severe material and social deprivation,Germany,,4.7
2017,Percentage,b) Severe material and social deprivation,Germany,,3.7
2018,Percentage,b) Severe material and social deprivation,Germany,,3.4
2019,Percentage,b) Severe material and social deprivation,Germany,,3.0
2020,Percentage,b) Severe material and social deprivation,Germany,,4.4
2021,Percentage,b) Severe material and social deprivation,Germany,,4.3
2022,Percentage,b) Severe material and social deprivation,Germany,,6.2
2023,Percentage,b) Severe material and social deprivation,Germany,,6.9
2024,Percentage,b) Severe material and social deprivation,Germany,,6.2
2014,Percentage,b) Severe material and social deprivation,Germany,Female,
