Year,Units,Time series,Value
2030,Millions,,
2012/2,Millions,,5.6
2013/1,Millions,,
2013/2,Millions,,6.9
2014/1,Millions,,
2014/2,Millions,,11.2
2015/1,Millions,,15.1
2015/2,Millions,,18.2
2016/1,Millions,,19.7
2016/2,Millions,,20.4
2017/1,Millions,,22.5
2017/2,Millions,,23.7
2018/1,Millions,,24.2
2018/2,Millions,,24.2
2019/1,Millions,,26.4
2019/2,Millions,,32.1
2020/1,Millions,,33.0
2020/2,Millions,,35.6
2021/1,Millions,,37.6
2021/2,Millions,,40.2
2022/1,Millions,,42.3
2030,Millions,Objects with digitised media,
2012/2,Millions,Objects with digitised media,
2013/1,Millions,Objects with digitised media,
2013/2,Millions,Objects with digitised media,
2014/1,Millions,Objects with digitised media,
2014/2,Millions,Objects with digitised media,
2015/1,Millions,Objects with digitised media,
2015/2,Millions,Objects with digitised media,6.3
2016/1,Millions,Objects with digitised media,7.7
2016/2,Millions,Objects with digitised media,8.1
2017/1,Millions,Objects with digitised media,9.1
2017/2,Millions,Objects with digitised media,9.7
2018/1,Millions,Objects with digitised media,9.7
2018/2,Millions,Objects with digitised media,9.7
2019/1,Millions,Objects with digitised media,12.1
2019/2,Millions,Objects with digitised media,13.0
2020/1,Millions,Objects with digitised media,11.0
2020/2,Millions,Objects with digitised media,11.9
2021/1,Millions,Objects with digitised media,13.3
2021/2,Millions,Objects with digitised media,14.4
2022/1,Millions,Objects with digitised media,14.9
2030,Millions,Objects without digitised media,
2012/2,Millions,Objects without digitised media,
2013/1,Millions,Objects without digitised media,
2013/2,Millions,Objects without digitised media,
2014/1,Millions,Objects without digitised media,
2014/2,Millions,Objects without digitised media,
2015/1,Millions,Objects without digitised media,
2015/2,Millions,Objects without digitised media,11.9
2016/1,Millions,Objects without digitised media,12.0
2016/2,Millions,Objects without digitised media,12.3
2017/1,Millions,Objects without digitised media,13.4
2017/2,Millions,Objects without digitised media,14.0
2018/1,Millions,Objects without digitised media,14.5
2018/2,Millions,Objects without digitised media,14.5
2019/1,Millions,Objects without digitised media,14.3
2019/2,Millions,Objects without digitised media,19.1
2020/1,Millions,Objects without digitised media,22.0
2020/2,Millions,Objects without digitised media,23.7
2021/1,Millions,Objects without digitised media,24.3
2021/2,Millions,Objects without digitised media,25.8
2022/1,Millions,Objects without digitised media,27.4
