Year,Units,Degree of urbanisation,Federal state,GeoCode,Value
2004,m² per year,,,,-5.1
2005,m² per year,,,,-5.0
2006,m² per year,,,,-4.8
2007,m² per year,,,,-4.7
2008,m² per year,,,,-4.6
2009,m² per year,,,,-4.3
2010,m² per year,,,,-4.0
2011,m² per year,,,,-4.2
2012,m² per year,,,,-3.8
2013,m² per year,,,,-3.6
2014,m² per year,,,,-3.7
2015,m² per year,,,,-2.9
2017,m² per year,,,,-2.8
2018,m² per year,,,,-2.8
2019,m² per year,,,,-2.8
2020,m² per year,,,,-2.8
2016,m² per year,,,,
2004,m² per year,Non-rural areas,,,-1.8
2005,m² per year,Non-rural areas,,,-1.8
2006,m² per year,Non-rural areas,,,-1.7
2007,m² per year,Non-rural areas,,,-1.7
2008,m² per year,Non-rural areas,,,-1.7
2009,m² per year,Non-rural areas,,,-1.5
2010,m² per year,Non-rural areas,,,-1.5
2011,m² per year,Non-rural areas,,,-1.4
2012,m² per year,Non-rural areas,,,-1.2
2013,m² per year,Non-rural areas,,,-1.2
2014,m² per year,Non-rural areas,,,-1.1
2015,m² per year,Non-rural areas,,,-1.0
2017,m² per year,Non-rural areas,,,-0.6
2018,m² per year,Non-rural areas,,,-0.6
2019,m² per year,Non-rural areas,,,-0.5
2020,m² per year,Non-rural areas,,,-0.7
2016,m² per year,Non-rural areas,,,
2004,m² per year,Rural areas,,,-7.4
2005,m² per year,Rural areas,,,-7.3
2006,m² per year,Rural areas,,,-7.1
2007,m² per year,Rural areas,,,-6.9
2008,m² per year,Rural areas,,,-6.7
2009,m² per year,Rural areas,,,-6.4
2010,m² per year,Rural areas,,,-5.9
2011,m² per year,Rural areas,,,-6.3
2012,m² per year,Rural areas,,,-5.7
2013,m² per year,Rural areas,,,-5.5
2014,m² per year,Rural areas,,,-5.7
2015,m² per year,Rural areas,,,-4.3
2017,m² per year,Rural areas,,,-4.4
2018,m² per year,Rural areas,,,-4.5
2019,m² per year,Rural areas,,,-4.5
2020,m² per year,Rural areas,,,-4.5
2016,m² per year,Rural areas,,,
2004,m² per year,,Baden-Wuerttemberg,code08,-3.6
2005,m² per year,,Baden-Wuerttemberg,code08,-3.3
2006,m² per year,,Baden-Wuerttemberg,code08,-3.2
2007,m² per year,,Baden-Wuerttemberg,code08,-3.2
2008,m² per year,,Baden-Wuerttemberg,code08,-3.1
2009,m² per year,,Baden-Wuerttemberg,code08,-3.0
2010,m² per year,,Baden-Wuerttemberg,code08,-2.7
2011,m² per year,,Baden-Wuerttemberg,code08,-2.4
2012,m² per year,,Baden-Wuerttemberg,code08,-2.3
2013,m² per year,,Baden-Wuerttemberg,code08,-2.1
2014,m² per year,,Baden-Wuerttemberg,code08,-2.0
2015,m² per year,,Baden-Wuerttemberg,code08,-1.9
2017,m² per year,,Baden-Wuerttemberg,code08,-1.9
2018,m² per year,,Baden-Wuerttemberg,code08,-1.8
2019,m² per year,,Baden-Wuerttemberg,code08,-1.8
2020,m² per year,,Baden-Wuerttemberg,code08,-1.9
2009,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.1
2010,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.2
2011,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.2
2012,m² per year,Non-rural areas,Baden-Wuerttemberg,code08,-1.1
