Year,Value,Units,GeoCode
1991,39.5,percentage,
1992,41.9,percentage,
1993,45.5,percentage,
1994,47.9,percentage,
1995,55.3,percentage,
1996,58.1,percentage,
1997,59.2,percentage,
1998,59.8,percentage,
1999,60.3,percentage,
2000,59.2,percentage,
2001,58.1,percentage,
2002,59.8,percentage,
2003,63.3,percentage,
2004,65.0,percentage,
2005,67.1,percentage,
2006,66.4,percentage,
2007,63.7,percentage,
2008,65.2,percentage,
2009,72.3,percentage,
2010,81.0,percentage,
2011,78.5,percentage,
2012,79.8,percentage,
2013,77.4,percentage,
2014,74.5,percentage,
2015,71.2,percentage,
2016,68.3,percentage,
2017,64.0,percentage,
2018,60.8,percentage,
2019,58.7,percentage,
2020,68.0,percentage,
2021,68.1,percentage,
2022,65.0,percentage,
2023,62.9,percentage,
