Year,Value,Units,Series
1996,120.0,hectre per day,moving four-year average
1997,121.0,hectre per day,moving four-year average
1998,124.0,hectre per day,moving four-year average
1999,126.0,hectre per day,moving four-year average
2000,129.0,hectre per day,moving four-year average
2001,128.0,hectre per day,moving four-year average
2002,123.0,hectre per day,moving four-year average
2003,115.0,hectre per day,moving four-year average
2004,115.0,hectre per day,moving four-year average
2005,114.0,hectre per day,moving four-year average
2006,113.0,hectre per day,moving four-year average
2007,113.0,hectre per day,moving four-year average
2008,104.0,hectre per day,moving four-year average
2009,94.0,hectre per day,moving four-year average
2010,87.0,hectre per day,moving four-year average
2011,81.0,hectre per day,moving four-year average
2012,74.0,hectre per day,moving four-year average
2013,73.0,hectre per day,moving four-year average
2014,69.0,hectre per day,moving four-year average
2015,66.0,hectre per day,moving four-year average
2016,62.0,hectre per day,moving four-year average
2017,58.0,hectre per day,moving four-year average
2018,56.0,hectre per day,moving four-year average
2019,52.0,hectre per day,moving four-year average
2020,54.0,hectre per day,moving four-year average
2021,55.0,hectre per day,moving four-year average
2022,52.0,hectre per day,moving four-year average
2030,,hectre per day,moving four-year average
1996,120.0,hectre per day,calculated annual values
1997,124.0,hectre per day,calculated annual values
1998,131.0,hectre per day,calculated annual values
1999,131.0,hectre per day,calculated annual values
2000,132.0,hectre per day,calculated annual values
2001,122.0,hectre per day,calculated annual values
2002,109.0,hectre per day,calculated annual values
2003,99.0,hectre per day,calculated annual values
2004,131.0,hectre per day,calculated annual values
2005,117.0,hectre per day,calculated annual values
2006,106.0,hectre per day,calculated annual values
2007,97.0,hectre per day,calculated annual values
2008,95.0,hectre per day,calculated annual values
2009,78.0,hectre per day,calculated annual values
2010,77.0,hectre per day,calculated annual values
2011,74.0,hectre per day,calculated annual values
2012,69.0,hectre per day,calculated annual values
2013,71.0,hectre per day,calculated annual values
2014,63.0,hectre per day,calculated annual values
2015,62.0,hectre per day,calculated annual values
2016,,hectre per day,calculated annual values
2017,55.0,hectre per day,calculated annual values
2018,58.0,hectre per day,calculated annual values
2019,45.0,hectre per day,calculated annual values
2020,58.0,hectre per day,calculated annual values
2021,58.0,hectre per day,calculated annual values
2022,48.0,hectre per day,calculated annual values
2030,,hectre per day,calculated annual values
