Year,Value,Units,Series
2000,68.7,percentage,a) total (20 to 64-year-olds)
2001,69.1,percentage,a) total (20 to 64-year-olds)
2002,68.8,percentage,a) total (20 to 64-year-olds)
2003,68.4,percentage,a) total (20 to 64-year-olds)
2004,67.9,percentage,a) total (20 to 64-year-olds)
2005,69.4,percentage,a) total (20 to 64-year-olds)
2006,71.1,percentage,a) total (20 to 64-year-olds)
2007,72.9,percentage,a) total (20 to 64-year-olds)
2008,74.0,percentage,a) total (20 to 64-year-olds)
2009,74.2,percentage,a) total (20 to 64-year-olds)
2010,75.0,percentage,a) total (20 to 64-year-olds)
2011,76.5,percentage,a) total (20 to 64-year-olds)
2012,76.9,percentage,a) total (20 to 64-year-olds)
2013,77.3,percentage,a) total (20 to 64-year-olds)
2014,77.7,percentage,a) total (20 to 64-year-olds)
2015,78.0,percentage,a) total (20 to 64-year-olds)
2016,78.6,percentage,a) total (20 to 64-year-olds)
2017,79.2,percentage,a) total (20 to 64-year-olds)
2018,79.9,percentage,a) total (20 to 64-year-olds)
2019,80.6,percentage,a) total (20 to 64-year-olds)
2020,79.2,percentage,a) total (20 to 64-year-olds)
2021,79.4,percentage,a) total (20 to 64-year-olds)
2022,80.6,percentage,a) total (20 to 64-year-olds)
2023,81.1,percentage,a) total (20 to 64-year-olds)
2024,81.3,percentage,a) total (20 to 64-year-olds)
2030,,percentage,a) total (20 to 64-year-olds)
2000,37.4,percentage,b) older people (55 to 64-year-olds)
2001,37.7,percentage,b) older people (55 to 64-year-olds)
2002,38.4,percentage,b) older people (55 to 64-year-olds)
2003,39.4,percentage,b) older people (55 to 64-year-olds)
2004,41.4,percentage,b) older people (55 to 64-year-olds)
2005,45.5,percentage,b) older people (55 to 64-year-olds)
2006,48.1,percentage,b) older people (55 to 64-year-olds)
2007,51.3,percentage,b) older people (55 to 64-year-olds)
2008,53.7,percentage,b) older people (55 to 64-year-olds)
2009,56.1,percentage,b) older people (55 to 64-year-olds)
2010,57.8,percentage,b) older people (55 to 64-year-olds)
2011,60.0,percentage,b) older people (55 to 64-year-olds)
2012,61.6,percentage,b) older people (55 to 64-year-olds)
2013,63.6,percentage,b) older people (55 to 64-year-olds)
2014,65.6,percentage,b) older people (55 to 64-year-olds)
2015,66.2,percentage,b) older people (55 to 64-year-olds)
2016,68.6,percentage,b) older people (55 to 64-year-olds)
2017,70.1,percentage,b) older people (55 to 64-year-olds)
2018,71.4,percentage,b) older people (55 to 64-year-olds)
2019,72.7,percentage,b) older people (55 to 64-year-olds)
2020,71.7,percentage,b) older people (55 to 64-year-olds)
2021,71.8,percentage,b) older people (55 to 64-year-olds)
2022,73.3,percentage,b) older people (55 to 64-year-olds)
2023,74.6,percentage,b) older people (55 to 64-year-olds)
2024,75.2,percentage,b) older people (55 to 64-year-olds)
2030,,percentage,b) older people (55 to 64-year-olds)
