Year,Units,Age group,Sex,Time series,Value
2003-2006,Percentage,3 to under 11 years,,,12.9
2014-2017,Percentage,3 to under 11 years,,,12.3
2003-2006,Percentage,3 to under 11 years,Female,,12.8
2014-2017,Percentage,3 to under 11 years,Female,,12.9
2003-2006,Percentage,3 to under 11 years,Male,,13.1
2014-2017,Percentage,3 to under 11 years,Male,,11.8
2003-2006,Percentage,11 to under 18 years,,,18.1
2014-2017,Percentage,11 to under 18 years,,,18.7
2003-2006,Percentage,11 to under 18 years,Female,,17.8
2014-2017,Percentage,11 to under 18 years,Female,,17.8
2003-2006,Percentage,11 to under 18 years,Male,,18.3
2014-2017,Percentage,11 to under 18 years,Male,,19.6
2003-2006,Percentage,3 to under 11 years,,Overweight without obese,7.7
2014-2017,Percentage,3 to under 11 years,,Overweight without obese,8.4
2003-2006,Percentage,3 to under 11 years,Female,Overweight without obese,7.6
2014-2017,Percentage,3 to under 11 years,Female,Overweight without obese,9.0
2003-2006,Percentage,3 to under 11 years,Male,Overweight without obese,7.9
2014-2017,Percentage,3 to under 11 years,Male,Overweight without obese,7.8
2003-2006,Percentage,11 to under 18 years,,Overweight without obese,9.8
2014-2017,Percentage,11 to under 18 years,,Overweight without obese,10.7
2003-2006,Percentage,11 to under 18 years,Female,Overweight without obese,9.7
2014-2017,Percentage,11 to under 18 years,Female,Overweight without obese,10.6
2003-2006,Percentage,11 to under 18 years,Male,Overweight without obese,10.0
2014-2017,Percentage,11 to under 18 years,Male,Overweight without obese,10.9
2003-2006,Percentage,3 to under 11 years,,Obese,5.2
2014-2017,Percentage,3 to under 11 years,,Obese,3.9
2003-2006,Percentage,3 to under 11 years,Female,Obese,5.2
2014-2017,Percentage,3 to under 11 years,Female,Obese,3.9
2003-2006,Percentage,3 to under 11 years,Male,Obese,5.2
2014-2017,Percentage,3 to under 11 years,Male,Obese,3.9
2003-2006,Percentage,11 to under 18 years,,Obese,8.3
2014-2017,Percentage,11 to under 18 years,,Obese,8.0
2003-2006,Percentage,11 to under 18 years,Female,Obese,8.2
2014-2017,Percentage,11 to under 18 years,Female,Obese,7.2
2003-2006,Percentage,11 to under 18 years,Male,Obese,8.4
2014-2017,Percentage,11 to under 18 years,Male,Obese,8.7
