Year,Units,criminal offences,federal state,GeoCode,Value
1993,"per 100,000 inhabitants",,,,8354.095
1994,"per 100,000 inhabitants",,,,8062.642
1995,"per 100,000 inhabitants",,,,8211.891
1996,"per 100,000 inhabitants",,,,8165.843
1997,"per 100,000 inhabitants",,,,8078.662
1998,"per 100,000 inhabitants",,,,7923.243
1999,"per 100,000 inhabitants",,,,7742.636
2000,"per 100,000 inhabitants",,,,7691.754
2001,"per 100,000 inhabitants",,,,7811.684
2002,"per 100,000 inhabitants",,,,7977.821
2003,"per 100,000 inhabitants",,,,8055.254
2004,"per 100,000 inhabitants",,,,8137.919
2005,"per 100,000 inhabitants",,,,7851.874
2006,"per 100,000 inhabitants",,,,7757.168
2007,"per 100,000 inhabitants",,,,7751.507
2008,"per 100,000 inhabitants",,,,7556.892
2009,"per 100,000 inhabitants",,,,7509.802
2010,"per 100,000 inhabitants",,,,7384.652
2011,"per 100,000 inhabitants",,,,7467.62
2012,"per 100,000 inhabitants",,,,7465.7
2013,"per 100,000 inhabitants",,,,7403.6
2014,"per 100,000 inhabitants",,,,7530.3
2015,"per 100,000 inhabitants",,,,7796.6
2016,"per 100,000 inhabitants",,,,7754.759
2017,"per 100,000 inhabitants",,,,6982.4
2018,"per 100,000 inhabitants",,,,6710.185
2019,"per 100,000 inhabitants",,,,6548.365
2020,"per 100,000 inhabitants",,,,6385.513
2021,"per 100,000 inhabitants",,,,6070.42
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,baden-wuerttemberg,code08,6123.163
1994,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5729.469
1995,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5675.863
1996,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5763.052
1997,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5822.949
1998,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5611.139
1999,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5508.378
2000,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5458.928
2001,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5551.18
2002,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5730.474
2003,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5547.172
2004,"per 100,000 inhabitants",,baden-wuerttemberg,code08,6220.291
2005,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5883.028
2006,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5794.919
2007,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5815.19
2008,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5628.669
2009,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5515.582
2010,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5457.241
2011,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5562.282
2012,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5455.051
2013,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5450.5
2014,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5592.3
2015,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5760.805
2016,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5598.845
2017,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5295.459
2018,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5190.519
2019,"per 100,000 inhabitants",,baden-wuerttemberg,code08,5183.715
2020,"per 100,000 inhabitants",,baden-wuerttemberg,code08,4851.774
2021,"per 100,000 inhabitants",,baden-wuerttemberg,code08,4380.16
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,bavaria,code09,5698.936
1994,"per 100,000 inhabitants",,bavaria,code09,5755.526
1995,"per 100,000 inhabitants",,bavaria,code09,5659.312
1996,"per 100,000 inhabitants",,bavaria,code09,5792.028
1997,"per 100,000 inhabitants",,bavaria,code09,5840.88
1998,"per 100,000 inhabitants",,bavaria,code09,5729.465
1999,"per 100,000 inhabitants",,bavaria,code09,5712.341
2000,"per 100,000 inhabitants",,bavaria,code09,5654.849
2001,"per 100,000 inhabitants",,bavaria,code09,5789.82
2002,"per 100,000 inhabitants",,bavaria,code09,5671.818
2003,"per 100,000 inhabitants",,bavaria,code09,5754.791
2004,"per 100,000 inhabitants",,bavaria,code09,5801.895
2005,"per 100,000 inhabitants",,bavaria,code09,5532.8
2006,"per 100,000 inhabitants",,bavaria,code09,5455.26
2007,"per 100,000 inhabitants",,bavaria,code09,5392.219
2008,"per 100,000 inhabitants",,bavaria,code09,5199.994
2009,"per 100,000 inhabitants",,bavaria,code09,5130.388
2010,"per 100,000 inhabitants",,bavaria,code09,5017.309
2011,"per 100,000 inhabitants",,bavaria,code09,5031.799
2012,"per 100,000 inhabitants",,bavaria,code09,5037.742
2013,"per 100,000 inhabitants",,bavaria,code09,5073.1
2014,"per 100,000 inhabitants",,bavaria,code09,5163.9
2015,"per 100,000 inhabitants",,bavaria,code09,6350.003
2016,"per 100,000 inhabitants",,bavaria,code09,6870.962
2017,"per 100,000 inhabitants",,bavaria,code09,4868.333
2018,"per 100,000 inhabitants",,bavaria,code09,4888.905
2019,"per 100,000 inhabitants",,bavaria,code09,4614.796
2020,"per 100,000 inhabitants",,bavaria,code09,4527.656
2021,"per 100,000 inhabitants",,bavaria,code09,4137.538
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,berlin,code11,16398.424
1994,"per 100,000 inhabitants",,berlin,code11,15960.884
1995,"per 100,000 inhabitants",,berlin,code11,16889.159
1996,"per 100,000 inhabitants",,berlin,code11,17332.703
1997,"per 100,000 inhabitants",,berlin,code11,17392.654
1998,"per 100,000 inhabitants",,berlin,code11,17432.102
1999,"per 100,000 inhabitants",,berlin,code11,17205.543
2000,"per 100,000 inhabitants",,berlin,code11,16849.007
2001,"per 100,000 inhabitants",,berlin,code11,17384.991
2002,"per 100,000 inhabitants",,berlin,code11,17758.228
2003,"per 100,000 inhabitants",,berlin,code11,17173.732
2004,"per 100,000 inhabitants",,berlin,code11,16500.48
2005,"per 100,000 inhabitants",,berlin,code11,15613.554
2006,"per 100,000 inhabitants",,berlin,code11,15240.121
2007,"per 100,000 inhabitants",,berlin,code11,15220.406
2008,"per 100,000 inhabitants",,berlin,code11,14796.442
2009,"per 100,000 inhabitants",,berlin,code11,15188.32
2010,"per 100,000 inhabitants",,berlin,code11,14526.391
2011,"per 100,000 inhabitants",,berlin,code11,15080.318
2012,"per 100,000 inhabitants",,berlin,code11,14891.663
2013,"per 100,000 inhabitants",,berlin,code11,14907.6
2014,"per 100,000 inhabitants",,berlin,code11,15873.3
2015,"per 100,000 inhabitants",,berlin,code11,16414.259
2016,"per 100,000 inhabitants",,berlin,code11,16160.653
2017,"per 100,000 inhabitants",,berlin,code11,14558.371
2018,"per 100,000 inhabitants",,berlin,code11,14160.169
2019,"per 100,000 inhabitants",,berlin,code11,14086.434
2020,"per 100,000 inhabitants",,berlin,code11,13738.745
2021,"per 100,000 inhabitants",,berlin,code11,13158.172
2030,"per 100,000 inhabitants",,,,
1993,"per 100,000 inhabitants",,brandenburg,code12,12918.761
