Year,Units,time series,area,Value
2007,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.373
2008,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.367
2009,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.355
2010,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.359
2011,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.358
2012,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.345
2013,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.362
2014,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.371
2015,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.363
2016,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.359
2017,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.35
2018,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.366
2019,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.352
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.362
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,germany,0.376
2007,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.361
2008,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.361
2009,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.36
2010,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.363
2011,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.367
2012,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.36
2013,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.363
2014,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.366
2015,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.365
2016,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.362
2017,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.359
2018,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.359
2019,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.355
2020,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.349
2021,gini coefficient,gini coefficient of equivalised disposable income before social transfers,eu,0.358
2007,gini coefficient,gini coefficient of equivalised disposable income,germany,0.304
2008,gini coefficient,gini coefficient of equivalised disposable income,germany,0.302
2009,gini coefficient,gini coefficient of equivalised disposable income,germany,0.291
2010,gini coefficient,gini coefficient of equivalised disposable income,germany,0.293
2011,gini coefficient,gini coefficient of equivalised disposable income,germany,0.29
2012,gini coefficient,gini coefficient of equivalised disposable income,germany,0.283
2013,gini coefficient,gini coefficient of equivalised disposable income,germany,0.297
2014,gini coefficient,gini coefficient of equivalised disposable income,germany,0.307
2015,gini coefficient,gini coefficient of equivalised disposable income,germany,0.301
2016,gini coefficient,gini coefficient of equivalised disposable income,germany,0.295
2017,gini coefficient,gini coefficient of equivalised disposable income,germany,0.291
2018,gini coefficient,gini coefficient of equivalised disposable income,germany,0.311
2019,gini coefficient,gini coefficient of equivalised disposable income,germany,0.297
2020,gini coefficient,gini coefficient of equivalised disposable income,germany,0.305
2021,gini coefficient,gini coefficient of equivalised disposable income,germany,0.309
2007,gini coefficient,gini coefficient of equivalised disposable income,eu,0.306
2008,gini coefficient,gini coefficient of equivalised disposable income,eu,0.31
2009,gini coefficient,gini coefficient of equivalised disposable income,eu,0.306
2010,gini coefficient,gini coefficient of equivalised disposable income,eu,0.305
2011,gini coefficient,gini coefficient of equivalised disposable income,eu,0.308
2012,gini coefficient,gini coefficient of equivalised disposable income,eu,0.305
2013,gini coefficient,gini coefficient of equivalised disposable income,eu,0.305
2014,gini coefficient,gini coefficient of equivalised disposable income,eu,0.31
2015,gini coefficient,gini coefficient of equivalised disposable income,eu,0.31
2016,gini coefficient,gini coefficient of equivalised disposable income,eu,0.308
2017,gini coefficient,gini coefficient of equivalised disposable income,eu,0.306
2018,gini coefficient,gini coefficient of equivalised disposable income,eu,0.308
2019,gini coefficient,gini coefficient of equivalised disposable income,eu,0.306
2020,gini coefficient,gini coefficient of equivalised disposable income,eu,0.3
2021,gini coefficient,gini coefficient of equivalised disposable income,eu,0.301
2007,gini coefficient,gini coefficient of market income,germany,
2008,gini coefficient,gini coefficient of market income,germany,0.494
2009,gini coefficient,gini coefficient of market income,germany,0.493
2010,gini coefficient,gini coefficient of market income,germany,0.492
2011,gini coefficient,gini coefficient of market income,germany,0.505
2012,gini coefficient,gini coefficient of market income,germany,0.501
2013,gini coefficient,gini coefficient of market income,germany,0.508
2014,gini coefficient,gini coefficient of market income,germany,0.5
2015,gini coefficient,gini coefficient of market income,germany,0.504
2016,gini coefficient,gini coefficient of market income,germany,0.505
2017,gini coefficient,gini coefficient of market income,germany,0.5
2018,gini coefficient,gini coefficient of market income,germany,0.494
2019,gini coefficient,gini coefficient of market income,germany,0.497
2020,gini coefficient,gini coefficient of market income,germany,
2021,gini coefficient,gini coefficient of market income,germany,
2007,gini coefficient,gini coefficient of wealth,germany,
2008,gini coefficient,gini coefficient of wealth,germany,
2009,gini coefficient,gini coefficient of wealth,germany,
2010,gini coefficient,gini coefficient of wealth,germany,0.758
2011,gini coefficient,gini coefficient of wealth,germany,
2012,gini coefficient,gini coefficient of wealth,germany,
2013,gini coefficient,gini coefficient of wealth,germany,
2014,gini coefficient,gini coefficient of wealth,germany,0.762
2015,gini coefficient,gini coefficient of wealth,germany,
2016,gini coefficient,gini coefficient of wealth,germany,
2017,gini coefficient,gini coefficient of wealth,germany,0.739
2018,gini coefficient,gini coefficient of wealth,germany,
2019,gini coefficient,gini coefficient of wealth,germany,
2020,gini coefficient,gini coefficient of wealth,germany,
2021,gini coefficient,gini coefficient of wealth,germany,
2007,gini coefficient,gini coefficient of wealth,eurozone,
2008,gini coefficient,gini coefficient of wealth,eurozone,
2009,gini coefficient,gini coefficient of wealth,eurozone,
2010,gini coefficient,gini coefficient of wealth,eurozone,0.68
2011,gini coefficient,gini coefficient of wealth,eurozone,
2012,gini coefficient,gini coefficient of wealth,eurozone,
2013,gini coefficient,gini coefficient of wealth,eurozone,
2014,gini coefficient,gini coefficient of wealth,eurozone,0.685
2015,gini coefficient,gini coefficient of wealth,eurozone,
2016,gini coefficient,gini coefficient of wealth,eurozone,
2017,gini coefficient,gini coefficient of wealth,eurozone,0.695
2018,gini coefficient,gini coefficient of wealth,eurozone,
2019,gini coefficient,gini coefficient of wealth,eurozone,
2020,gini coefficient,gini coefficient of wealth,eurozone,
2021,gini coefficient,gini coefficient of wealth,eurozone,
