Year,Units,time series,federal state,GeoCode,Value
2005,number,,,,140519.0
2006,number,,,,141289.0
2007,number,,,,136087.0
2008,number,,,,140832.0
2009,number,,,,147152.0
2010,number,,,,153690.0
2011,number,,,,158557.0
2012,number,,,,170618.0
2013,number,,,,185787.0
2014,number,,,,200349.0
2015,number,,,,215258.0
2016,number,,,,230689.0
2017,number,,,,247436.0
2018,number,,,,267250.0
2019,number,,,,285450.0
2020,number,,,,298149.0
2021,number,,,,316001.0
2022,number,,,,335016.0
2023,number,,,,348976.0
2006,number,,baden-wuerttemberg,code08,20133.0
2007,number,,baden-wuerttemberg,code08,19383.0
2008,number,,baden-wuerttemberg,code08,19840.0
2009,number,,baden-wuerttemberg,code08,20914.0
2010,number,,baden-wuerttemberg,code08,21886.0
2011,number,,baden-wuerttemberg,code08,21857.0
2012,number,,baden-wuerttemberg,code08,24175.0
2013,number,,baden-wuerttemberg,code08,26218.0
2014,number,,baden-wuerttemberg,code08,28199.0
2015,number,,baden-wuerttemberg,code08,30019.0
2016,number,,baden-wuerttemberg,code08,32126.0
2017,number,,baden-wuerttemberg,code08,32564.0
2018,number,,baden-wuerttemberg,code08,32221.0
2019,number,,baden-wuerttemberg,code08,31590.0
2020,number,,baden-wuerttemberg,code08,30143.0
2021,number,,baden-wuerttemberg,code08,30127.0
2022,number,,baden-wuerttemberg,code08,31266.0
2023,number,,baden-wuerttemberg,code08,31761.0
2006,number,,bavaria,code09,13978.0
2007,number,,bavaria,code09,13633.0
2008,number,,bavaria,code09,14130.0
2009,number,,bavaria,code09,14747.0
2010,number,,bavaria,code09,15618.0
2011,number,,bavaria,code09,16297.0
2012,number,,bavaria,code09,17742.0
2013,number,,bavaria,code09,20459.0
2014,number,,bavaria,code09,22184.0
2015,number,,bavaria,code09,24310.0
2016,number,,bavaria,code09,26347.0
2017,number,,bavaria,code09,30357.0
2018,number,,bavaria,code09,34357.0
2019,number,,bavaria,code09,37939.0
2020,number,,bavaria,code09,42253.0
2021,number,,bavaria,code09,47700.0
2022,number,,bavaria,code09,53851.0
2023,number,,bavaria,code09,59560.0
2006,number,,berlin,code11,9715.0
2007,number,,berlin,code11,10005.0
2008,number,,berlin,code11,10531.0
2009,number,,berlin,code11,10914.0
2010,number,,berlin,code11,11647.0
2011,number,,berlin,code11,11931.0
2012,number,,berlin,code11,12536.0
2013,number,,berlin,code11,13498.0
2014,number,,berlin,code11,14509.0
2015,number,,berlin,code11,15767.0
2016,number,,berlin,code11,17179.0
2017,number,,berlin,code11,19899.0
2018,number,,berlin,code11,22086.0
2019,number,,berlin,code11,24341.0
2020,number,,berlin,code11,25828.0
2021,number,,berlin,code11,28264.0
2022,number,,berlin,code11,29458.0
2023,number,,berlin,code11,30553.0
2006,number,,brandenburg,code12,2568.0
2007,number,,brandenburg,code12,2630.0
2008,number,,brandenburg,code12,2675.0
2009,number,,brandenburg,code12,2808.0
2010,number,,brandenburg,code12,2862.0
2011,number,,brandenburg,code12,3045.0
2012,number,,brandenburg,code12,3374.0
2013,number,,brandenburg,code12,3522.0
2014,number,,brandenburg,code12,3754.0
2015,number,,brandenburg,code12,4022.0
2016,number,,brandenburg,code12,4418.0
2017,number,,brandenburg,code12,4947.0
2018,number,,brandenburg,code12,5378.0
2019,number,,brandenburg,code12,5905.0
2020,number,,brandenburg,code12,6244.0
2021,number,,brandenburg,code12,6988.0
2022,number,,brandenburg,code12,8362.0
2023,number,,brandenburg,code12,9373.0
2006,number,,bremen,code04,3789.0
2007,number,,bremen,code04,3644.0
2008,number,,bremen,code04,3552.0
2009,number,,bremen,code04,3467.0
2010,number,,bremen,code04,3350.0
2011,number,,bremen,code04,3378.0
2012,number,,bremen,code04,3430.0
2013,number,,bremen,code04,3583.0
2014,number,,bremen,code04,3741.0
2015,number,,bremen,code04,3855.0
2016,number,,bremen,code04,4047.0
2017,number,,bremen,code04,4533.0
2018,number,,bremen,code04,4716.0
2019,number,,bremen,code04,5144.0
2020,number,,bremen,code04,5349.0
2021,number,,bremen,code04,5526.0
2022,number,,bremen,code04,5770.0
2023,number,,bremen,code04,6002.0
2006,number,,hamburg,code02,5311.0
2007,number,,hamburg,code02,4970.0
2008,number,,hamburg,code02,5028.0
2009,number,,hamburg,code02,5202.0
2010,number,,hamburg,code02,5384.0
2011,number,,hamburg,code02,5611.0
2012,number,,hamburg,code02,5981.0
2013,number,,hamburg,code02,6189.0
2014,number,,hamburg,code02,6366.0
2015,number,,hamburg,code02,6741.0
2016,number,,hamburg,code02,7205.0
2017,number,,hamburg,code02,7685.0
2018,number,,hamburg,code02,8619.0
2019,number,,hamburg,code02,9058.0
2020,number,,hamburg,code02,9345.0
2021,number,,hamburg,code02,10293.0
2022,number,,hamburg,code02,11075.0
2023,number,,hamburg,code02,11532.0
2006,number,,hesse,code06,14955.0
2007,number,,hesse,code06,13532.0
2008,number,,hesse,code06,15441.0
2009,number,,hesse,code06,17026.0
2010,number,,hesse,code06,18427.0
2011,number,,hesse,code06,18524.0
2012,number,,hesse,code06,19593.0
2013,number,,hesse,code06,21041.0
2014,number,,hesse,code06,22324.0
2015,number,,hesse,code06,23542.0
2016,number,,hesse,code06,24605.0
2017,number,,hesse,code06,25754.0
2018,number,,hesse,code06,27467.0
2019,number,,hesse,code06,28777.0
2020,number,,hesse,code06,29788.0
2021,number,,hesse,code06,30299.0
2022,number,,hesse,code06,31334.0
2023,number,,hesse,code06,31933.0
2006,number,,mecklenburg western pomerania,code13,1194.0
2007,number,,mecklenburg western pomerania,code13,1207.0
2008,number,,mecklenburg western pomerania,code13,1195.0
2009,number,,mecklenburg western pomerania,code13,1291.0
2010,number,,mecklenburg western pomerania,code13,1390.0
2011,number,,mecklenburg western pomerania,code13,1405.0
2012,number,,mecklenburg western pomerania,code13,1442.0
2013,number,,mecklenburg western pomerania,code13,1618.0
2014,number,,mecklenburg western pomerania,code13,1759.0
2015,number,,mecklenburg western pomerania,code13,1972.0
2016,number,,mecklenburg western pomerania,code13,2303.0
2017,number,,mecklenburg western pomerania,code13,2775.0
2018,number,,mecklenburg western pomerania,code13,3115.0
2019,number,,mecklenburg western pomerania,code13,3247.0
2020,number,,mecklenburg western pomerania,code13,3352.0
2021,number,,mecklenburg western pomerania,code13,3477.0
2022,number,,mecklenburg western pomerania,code13,3555.0
2023,number,,mecklenburg western pomerania,code13,3404.0
2006,number,,lower saxony,code03,10759.0
2007,number,,lower saxony,code03,10237.0
2008,number,,lower saxony,code03,10357.0
2009,number,,lower saxony,code03,10402.0
2010,number,,lower saxony,code03,10444.0
2011,number,,lower saxony,code03,10452.0
2012,number,,lower saxony,code03,11133.0
2013,number,,lower saxony,code03,12109.0
2014,number,,lower saxony,code03,13195.0
2015,number,,lower saxony,code03,14657.0
2016,number,,lower saxony,code03,15932.0
2017,number,,lower saxony,code03,17702.0
2018,number,,lower saxony,code03,19333.0
2019,number,,lower saxony,code03,20687.0
2020,number,,lower saxony,code03,21354.0
2021,number,,lower saxony,code03,21592.0
2022,number,,lower saxony,code03,22020.0
2023,number,,lower saxony,code03,22429.0
2006,number,,north rhine-westphalia,code05,38324.0
2007,number,,north rhine-westphalia,code05,35303.0
2008,number,,north rhine-westphalia,code05,36388.0
2009,number,,north rhine-westphalia,code05,37820.0
