Year,Units,Series,Sex,Federal state,GeoCode,Value
1996,Percentage,Foreigns,,,,80.444
1997,Percentage,Foreigns,,,,80.574
1998,Percentage,Foreigns,,,,80.505
1999,Percentage,Foreigns,,,,80.687
2000,Percentage,Foreigns,,,,80.102
2001,Percentage,Foreigns,,,,79.799
2002,Percentage,Foreigns,,,,80.62
2003,Percentage,Foreigns,,,,80.946
2004,Percentage,Foreigns,,,,81.911
2005,Percentage,Foreigns,,,,82.599
2006,Percentage,Foreigns,,,,83.227
2007,Percentage,Foreigns,,,,84.036
2008,Percentage,Foreigns,,,,85.041
2009,Percentage,Foreigns,,,,86.154
2010,Percentage,Foreigns,,,,87.191
2011,Percentage,Foreigns,,,,88.221
2012,Percentage,Foreigns,,,,88.614
2013,Percentage,Foreigns,,,,89.287
2014,Percentage,Foreigns,,,,88.057
2015,Percentage,Foreigns,,,,88.2
2016,Percentage,Foreigns,,,,85.874
2017,Percentage,Foreigns,,,,81.921
2018,Percentage,Foreigns,,,,81.795
2019,Percentage,Foreigns,,,,82.371
2020,Percentage,Foreigns,,,,85.345
2021,Percentage,Foreigns,,,,84.342
2022,Percentage,Foreigns,,,,84.008
2023,Percentage,Foreigns,,,,82.271
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,,,84.47
1997,Percentage,Foreigns,Female,,,84.734
1998,Percentage,Foreigns,Female,,,84.53
1999,Percentage,Foreigns,Female,,,84.935
2000,Percentage,Foreigns,Female,,,84.328
2001,Percentage,Foreigns,Female,,,84.291
2002,Percentage,Foreigns,Female,,,84.415
2003,Percentage,Foreigns,Female,,,84.591
2004,Percentage,Foreigns,Female,,,85.812
2005,Percentage,Foreigns,Female,,,86.424
2006,Percentage,Foreigns,Female,,,86.53
2007,Percentage,Foreigns,Female,,,87.035
2008,Percentage,Foreigns,Female,,,87.918
2009,Percentage,Foreigns,Female,,,88.545
2010,Percentage,Foreigns,Female,,,89.466
2011,Percentage,Foreigns,Female,,,90.343
2012,Percentage,Foreigns,Female,,,90.592
2013,Percentage,Foreigns,Female,,,91.072
2014,Percentage,Foreigns,Female,,,89.406
2015,Percentage,Foreigns,Female,,,90.3
2016,Percentage,Foreigns,Female,,,89.1
2017,Percentage,Foreigns,Female,,,86.431
2018,Percentage,Foreigns,Female,,,85.572
2019,Percentage,Foreigns,Female,,,85.83
2020,Percentage,Foreigns,Female,,,88.022
2021,Percentage,Foreigns,Female,,,87.38
2022,Percentage,Foreigns,Female,,,86.869
2023,Percentage,Foreigns,Female,,,85.206
1996,Percentage,Foreigns,Male,,,76.661
1997,Percentage,Foreigns,Male,,,76.831
1998,Percentage,Foreigns,Male,,,76.898
1999,Percentage,Foreigns,Male,,,76.886
2000,Percentage,Foreigns,Male,,,76.214
2001,Percentage,Foreigns,Male,,,75.832
2002,Percentage,Foreigns,Male,,,76.886
2003,Percentage,Foreigns,Male,,,77.423
2004,Percentage,Foreigns,Male,,,78.305
2005,Percentage,Foreigns,Male,,,79.14
2006,Percentage,Foreigns,Male,,,80.178
2007,Percentage,Foreigns,Male,,,81.207
2008,Percentage,Foreigns,Male,,,82.273
2009,Percentage,Foreigns,Male,,,83.853
2010,Percentage,Foreigns,Male,,,84.966
2011,Percentage,Foreigns,Male,,,86.175
2012,Percentage,Foreigns,Male,,,86.686
2013,Percentage,Foreigns,Male,,,87.562
2014,Percentage,Foreigns,Male,,,86.758
2015,Percentage,Foreigns,Male,,,86.2
2016,Percentage,Foreigns,Male,,,82.9
2017,Percentage,Foreigns,Male,,,78.118
2018,Percentage,Foreigns,Male,,,78.765
2019,Percentage,Foreigns,Male,,,79.495
2020,Percentage,Foreigns,Male,,,83.009
2021,Percentage,Foreigns,Male,,,81.619
2022,Percentage,Foreigns,Male,,,81.435
2023,Percentage,Foreigns,Male,,,79.673
1996,Percentage,Germans,,,,92.284
1997,Percentage,Germans,,,,92.286
1998,Percentage,Germans,,,,92.059
1999,Percentage,Germans,,,,92.002
2000,Percentage,Germans,,,,91.691
2001,Percentage,Germans,,,,91.347
2002,Percentage,Germans,,,,91.795
2003,Percentage,Germans,,,,92.074
2004,Percentage,Germans,,,,92.58
2005,Percentage,Germans,,,,92.761
2006,Percentage,Germans,,,,93.047
2007,Percentage,Germans,,,,93.6
2008,Percentage,Germans,,,,93.8
2009,Percentage,Germans,,,,94.227
2010,Percentage,Germans,,,,94.572
2011,Percentage,Germans,,,,95.006
2012,Percentage,Germans,,,,95.102
2013,Percentage,Germans,,,,95.377
2014,Percentage,Germans,,,,95.136
2015,Percentage,Germans,,,,95.0
2016,Percentage,Germans,,,,95.1
2017,Percentage,Germans,,,,94.733
2018,Percentage,Germans,,,,94.58
2019,Percentage,Germans,,,,94.526
2020,Percentage,Germans,,,,94.906
2021,Percentage,Germans,,,,94.86
2022,Percentage,Germans,,,,94.259
2023,Percentage,Germans,,,,94.212
2030,Percentage,Germans,,,,
1996,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.0
1997,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.3
1998,Percentage,Foreigns,,Baden-Wuerttemberg,code08,81.2
1999,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.8
2000,Percentage,Foreigns,,Baden-Wuerttemberg,code08,80.1
2001,Percentage,Foreigns,,Baden-Wuerttemberg,code08,79.8
