Year,Value,Units,GeoCode
1991,30.428,1 000 Euro,
1992,30.837,1 000 Euro,
1993,30.369,1 000 Euro,
1994,31.081,1 000 Euro,
1995,31.486,1 000 Euro,
1996,31.751,1 000 Euro,
1997,32.322,1 000 Euro,
1998,33.026,1 000 Euro,
1999,33.739,1 000 Euro,
2000,34.694,1 000 Euro,
2001,35.236,1 000 Euro,
2002,35.129,1 000 Euro,
2003,34.956,1 000 Euro,
2004,35.402,1 000 Euro,
2005,35.768,1 000 Euro,
2006,37.226,1 000 Euro,
2007,38.387,1 000 Euro,
2008,38.837,1 000 Euro,
2009,36.812,1 000 Euro,
2010,38.429,1 000 Euro,
2011,39.878,1 000 Euro,
2012,40.008,1 000 Euro,
