Year,Value,Units,Series
2015,100.0,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2016,136.802,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2017,147.738,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2018,197.464,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2019,204.067,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2020,212.886,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2021,208.58,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2022,192.684,2015 = 100,Anteil des Papiers mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung
2015,100.0,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2016,99.978,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2017,100.046,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2018,99.985,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2019,100.63,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2020,101.773,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2021,102.739,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2022,,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
