Year,Units,Zeitreihe,Value
2015,Millionen EUR,Pandemieprävention und -reaktion,147.9
2016,Millionen EUR,Pandemieprävention und -reaktion,154.5
2017,Millionen EUR,Pandemieprävention und -reaktion,322.1
2018,Millionen EUR,Pandemieprävention und -reaktion,279.4
2019,Millionen EUR,Pandemieprävention und -reaktion,300.5
2020,Millionen EUR,Pandemieprävention und -reaktion,398.3
2021,Millionen EUR,Pandemieprävention und -reaktion,396.7
2022,Millionen EUR,Pandemieprävention und -reaktion,452.8
2023,Millionen EUR,Pandemieprävention und -reaktion,172.6
2030,Millionen EUR,Pandemieprävention und -reaktion,
2015,Millionen EUR,Eindämmung der COVID-19-Pandemie,0.0
2016,Millionen EUR,Eindämmung der COVID-19-Pandemie,0.0
2017,Millionen EUR,Eindämmung der COVID-19-Pandemie,0.0
2018,Millionen EUR,Eindämmung der COVID-19-Pandemie,0.0
2019,Millionen EUR,Eindämmung der COVID-19-Pandemie,0.0
2020,Millionen EUR,Eindämmung der COVID-19-Pandemie,743.7
2021,Millionen EUR,Eindämmung der COVID-19-Pandemie,842.7
2022,Millionen EUR,Eindämmung der COVID-19-Pandemie,1224.9
2023,Millionen EUR,Eindämmung der COVID-19-Pandemie,446.1
2030,Millionen EUR,Eindämmung der COVID-19-Pandemie,
