Year,Units,Zeitreihe,Value
2010,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,100.0
2011,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,101.382
2012,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,99.693
2013,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,98.464
2014,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,99.386
2015,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,97.696
2016,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,101.229
2017,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,100.0
2018,2010 = 100,Direkter und indirrekter Rohstoffeinsatz,100.0
2010,2010 = 100,Direkter und indirrekter Energieverbrauch,100.0
2011,2010 = 100,Direkter und indirrekter Energieverbrauch,95.751
2012,2010 = 100,Direkter und indirrekter Energieverbrauch,95.038
2013,2010 = 100,Direkter und indirrekter Energieverbrauch,96.49
2014,2010 = 100,Direkter und indirrekter Energieverbrauch,90.044
2015,2010 = 100,Direkter und indirrekter Energieverbrauch,92.347
2016,2010 = 100,Direkter und indirrekter Energieverbrauch,95.038
2017,2010 = 100,Direkter und indirrekter Energieverbrauch,94.057
2018,2010 = 100,Direkter und indirrekter Energieverbrauch,
2010,2010 = 100,Direkte und indirrekte CO₂-Emissionen,100.0
2011,2010 = 100,Direkte und indirrekte CO₂-Emissionen,97.395
2012,2010 = 100,Direkte und indirrekte CO₂-Emissionen,97.977
2013,2010 = 100,Direkte und indirrekte CO₂-Emissionen,98.721
2014,2010 = 100,Direkte und indirrekte CO₂-Emissionen,91.772
2015,2010 = 100,Direkte und indirrekte CO₂-Emissionen,93.658
2016,2010 = 100,Direkte und indirrekte CO₂-Emissionen,93.839
2017,2010 = 100,Direkte und indirrekte CO₂-Emissionen,92.089
2018,2010 = 100,Direkte und indirrekte CO₂-Emissionen,
