Year,Units,Value
1990,Prozent,17.742
1991,Prozent,17.297
1992,Prozent,19.271
1993,Prozent,20.43
1994,Prozent,23.196
1995,Prozent,23.529
1996,Prozent,21.393
1997,Prozent,23.645
1998,Prozent,19.524
1999,Prozent,26.728
2000,Prozent,28.507
2001,Prozent,29.358
2002,Prozent,25.893
2003,Prozent,31.25
2004,Prozent,31.696
2005,Prozent,30.242
2006,Prozent,33.333
2007,Prozent,30.488
2008,Prozent,32.773
2009,Prozent,33.2
2010,Prozent,31.349
2011,Prozent,36.905
2012,Prozent,34.694
2013,Prozent,35.341
2014,Prozent,33.603
2015,Prozent,29.96
2016,Prozent,36.905
2017,Prozent,34.836
2018,Prozent,43.651
2019,Prozent,41.564
2020,Prozent,41.7
2021,Prozent,43.426
2022,Prozent,42.742
2023,Prozent,41.81
2030,Prozent,
