Year,Units,Zeitreihe,Value
2018/2,Prozent,Alle leitungsgebundenen Technologien,27.33
2019/1,Prozent,Alle leitungsgebundenen Technologien,34.12
2019/2,Prozent,Alle leitungsgebundenen Technologien,43.22
2020/1,Prozent,Alle leitungsgebundenen Technologien,55.9
2020/2,Prozent,Alle leitungsgebundenen Technologien,59.18
2021/1,Prozent,Alle leitungsgebundenen Technologien,62.13
2021/2,Prozent,Alle leitungsgebundenen Technologien,
2022/1,Prozent,Alle leitungsgebundenen Technologien,68.04
2022/2,Prozent,Alle leitungsgebundenen Technologien,70.5
2023/1,Prozent,Alle leitungsgebundenen Technologien,73.6
2023/2,Prozent,Alle leitungsgebundenen Technologien,74.8
2024/1,Prozent,Alle leitungsgebundenen Technologien,76.47
2025,Prozent,Alle leitungsgebundenen Technologien,
2015,Prozent,Reine Glasfasernetze (FTTB/H),6.7
2016,Prozent,Reine Glasfasernetze (FTTB/H),7.1
2017,Prozent,Reine Glasfasernetze (FTTB/H),8.0
2018/2,Prozent,Reine Glasfasernetze (FTTB/H),9.0
2019/1,Prozent,Reine Glasfasernetze (FTTB/H),10.5
2019/2,Prozent,Reine Glasfasernetze (FTTB/H),11.8
2020/1,Prozent,Reine Glasfasernetze (FTTB/H),13.8
2020/2,Prozent,Reine Glasfasernetze (FTTB/H),14.5
2021/1,Prozent,Reine Glasfasernetze (FTTB/H),15.4
2021/2,Prozent,Reine Glasfasernetze (FTTB/H),
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),18.2
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),23.2
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),28.2
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),32.1
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),35.69
2018/2,Prozent,Hybrid Fiber Coax (HFC),23.66
2019/1,Prozent,Hybrid Fiber Coax (HFC),29.28
2019/2,Prozent,Hybrid Fiber Coax (HFC),37.83
2020/1,Prozent,Hybrid Fiber Coax (HFC),50.18
2020/2,Prozent,Hybrid Fiber Coax (HFC),53.5
2021/1,Prozent,Hybrid Fiber Coax (HFC),56.54
2021/2,Prozent,Hybrid Fiber Coax (HFC),
2022/1,Prozent,Hybrid Fiber Coax (HFC),59.07
2022/2,Prozent,Hybrid Fiber Coax (HFC),60.55
2023/1,Prozent,Hybrid Fiber Coax (HFC),61.94
2023/2,Prozent,Hybrid Fiber Coax (HFC),62.04
2024/1,Prozent,Hybrid Fiber Coax (HFC),62.33
