Year,Units,Federal state,GeoCode,Value
2005,Percentage,,,7.2
2006,Percentage,,,8.5
2007,Percentage,,,10.3
2008,Percentage,,,10.1
2009,Percentage,,,10.6
2010,Percentage,,,11.5
2011,Percentage,,,12.5
2012,Percentage,,,13.7
2013,Percentage,,,13.8
2014,Percentage,,,14.4
2015,Percentage,,,15.2
2016,Percentage,,,15.0
2017,Percentage,,,16.1
2018,Percentage,,,16.9
2019,Percentage,,,17.8
2020,Percentage,,,19.5
2021,Percentage,,,18.8
2022,Percentage,,,20.2
2023,Percentage,,,22.1
2030,Percentage,,,
2040,Percentage,,,
2050,Percentage,,,
2005,Percentage,Baden-Wuerttemberg,code08,8.241
2006,Percentage,Baden-Wuerttemberg,code08,10.011
2007,Percentage,Baden-Wuerttemberg,code08,11.893
2008,Percentage,Baden-Wuerttemberg,code08,11.474
2009,Percentage,Baden-Wuerttemberg,code08,11.988
2010,Percentage,Baden-Wuerttemberg,code08,13.486
2011,Percentage,Baden-Wuerttemberg,code08,13.485
2012,Percentage,Baden-Wuerttemberg,code08,14.964
2013,Percentage,Baden-Wuerttemberg,code08,14.871
2014,Percentage,Baden-Wuerttemberg,code08,15.266
2015,Percentage,Baden-Wuerttemberg,code08,15.044
2016,Percentage,Baden-Wuerttemberg,code08,15.244
2017,Percentage,Baden-Wuerttemberg,code08,15.617
2018,Percentage,Baden-Wuerttemberg,code08,16.262
2019,Percentage,Baden-Wuerttemberg,code08,16.38
2005,Percentage,Bavaria,code09,8.586
2006,Percentage,Bavaria,code09,9.501
2007,Percentage,Bavaria,code09,10.465
2008,Percentage,Bavaria,code09,10.121
2009,Percentage,Bavaria,code09,10.803
2010,Percentage,Bavaria,code09,14.617
2011,Percentage,Bavaria,code09,15.509
2012,Percentage,Bavaria,code09,17.796
2013,Percentage,Bavaria,code09,18.342
2014,Percentage,Bavaria,code09,18.407
2015,Percentage,Bavaria,code09,19.1
2016,Percentage,Bavaria,code09,19.828
2017,Percentage,Bavaria,code09,20.312
2018,Percentage,Bavaria,code09,21.17
2019,Percentage,Bavaria,code09,20.684
2020,Percentage,Bavaria,code09,24.227
2005,Percentage,Berlin,code11,1.248
2006,Percentage,Berlin,code11,1.934
2007,Percentage,Berlin,code11,2.346
2008,Percentage,Berlin,code11,1.636
2009,Percentage,Berlin,code11,2.173
2010,Percentage,Berlin,code11,2.842
2011,Percentage,Berlin,code11,3.284
2012,Percentage,Berlin,code11,3.359
2013,Percentage,Berlin,code11,3.559
2014,Percentage,Berlin,code11,3.361
2015,Percentage,Berlin,code11,3.583
2016,Percentage,Berlin,code11,3.482
2017,Percentage,Berlin,code11,3.735
2018,Percentage,Berlin,code11,4.202
2019,Percentage,Berlin,code11,4.555
2020,Percentage,Berlin,code11,5.191
2005,Percentage,Brandenburg,code12,9.768
2006,Percentage,Brandenburg,code12,13.837
2007,Percentage,Brandenburg,code12,16.672
2008,Percentage,Brandenburg,code12,15.262
2009,Percentage,Brandenburg,code12,16.482
2010,Percentage,Brandenburg,code12,17.366
2011,Percentage,Brandenburg,code12,21.765
2012,Percentage,Brandenburg,code12,22.172
2013,Percentage,Brandenburg,code12,22.868
2014,Percentage,Brandenburg,code12,23.657
2015,Percentage,Brandenburg,code12,25.901
2016,Percentage,Brandenburg,code12,24.377
2017,Percentage,Brandenburg,code12,27.202
2018,Percentage,Brandenburg,code12,28.218
2019,Percentage,Brandenburg,code12,30.67
2005,Percentage,Bremen,code04,2.08
2006,Percentage,Bremen,code04,2.586
2007,Percentage,Bremen,code04,2.724
2008,Percentage,Bremen,code04,2.724
2009,Percentage,Bremen,code04,2.926
2010,Percentage,Bremen,code04,3.235
2011,Percentage,Bremen,code04,3.544
2012,Percentage,Bremen,code04,3.718
2013,Percentage,Bremen,code04,4.321
2014,Percentage,Bremen,code04,5.058
2015,Percentage,Bremen,code04,4.603
2016,Percentage,Bremen,code04,4.213
2017,Percentage,Bremen,code04,4.482
2018,Percentage,Bremen,code04,5.23
2019,Percentage,Bremen,code04,5.365
2005,Percentage,Hamburg,code02,2.748
2006,Percentage,Hamburg,code02,3.898
2007,Percentage,Hamburg,code02,4.569
2008,Percentage,Hamburg,code02,4.068
2009,Percentage,Hamburg,code02,4.628
2010,Percentage,Hamburg,code02,4.184
2011,Percentage,Hamburg,code02,4.515
2012,Percentage,Hamburg,code02,4.614
2013,Percentage,Hamburg,code02,4.481
2014,Percentage,Hamburg,code02,4.871
2015,Percentage,Hamburg,code02,4.919
2016,Percentage,Hamburg,code02,4.695
2017,Percentage,Hamburg,code02,4.936
2018,Percentage,Hamburg,code02,5.635
2019,Percentage,Hamburg,code02,7.267
2020,Percentage,Hamburg,code02,8.241
2021,Percentage,Hamburg,code02,9.205
2005,Percentage,Hesse,code06,4.264
2006,Percentage,Hesse,code06,5.286
2007,Percentage,Hesse,code06,6.082
2008,Percentage,Hesse,code06,5.838
2009,Percentage,Hesse,code06,6.331
2010,Percentage,Hesse,code06,7.506
2011,Percentage,Hesse,code06,8.099
2012,Percentage,Hesse,code06,8.259
2013,Percentage,Hesse,code06,8.68
2014,Percentage,Hesse,code06,8.742
2015,Percentage,Hesse,code06,9.491
2016,Percentage,Hesse,code06,9.609
2017,Percentage,Hesse,code06,10.2
2018,Percentage,Hesse,code06,11.532
2019,Percentage,Hesse,code06,11.527
2006,Percentage,Lower Saxony,code03,8.704
2008,Percentage,Lower Saxony,code03,10.888
2009,Percentage,Lower Saxony,code03,11.365
2010,Percentage,Lower Saxony,code03,12.26
2011,Percentage,Lower Saxony,code03,13.766
2012,Percentage,Lower Saxony,code03,15.581
2013,Percentage,Lower Saxony,code03,15.598
2014,Percentage,Lower Saxony,code03,16.179
2015,Percentage,Lower Saxony,code03,18.543
2016,Percentage,Lower Saxony,code03,18.575
2017,Percentage,Lower Saxony,code03,20.922
2018,Percentage,Lower Saxony,code03,22.324
2019,Percentage,Lower Saxony,code03,24.27
2020,Percentage,Lower Saxony,code03,26.952
2021,Percentage,Lower Saxony,code03,24.536
2005,Percentage,North Rhine-Westphalia,code05,3.177
2006,Percentage,North Rhine-Westphalia,code05,4.068
2007,Percentage,North Rhine-Westphalia,code05,4.63
2008,Percentage,North Rhine-Westphalia,code05,3.948
2009,Percentage,North Rhine-Westphalia,code05,4.896
2010,Percentage,North Rhine-Westphalia,code05,4.992
2011,Percentage,North Rhine-Westphalia,code05,5.345
2012,Percentage,North Rhine-Westphalia,code05,5.819
2013,Percentage,North Rhine-Westphalia,code05,5.751
2014,Percentage,North Rhine-Westphalia,code05,5.763
2015,Percentage,North Rhine-Westphalia,code05,6.331
2016,Percentage,North Rhine-Westphalia,code05,6.422
2017,Percentage,North Rhine-Westphalia,code05,6.841
2018,Percentage,North Rhine-Westphalia,code05,7.303
2019,Percentage,North Rhine-Westphalia,code05,7.93
2020,Percentage,North Rhine-Westphalia,code05,8.764
2005,Percentage,Rhineland Palatinate,code07,5.512
2006,Percentage,Rhineland Palatinate,code07,7.517
2007,Percentage,Rhineland Palatinate,code07,9.187
2008,Percentage,Rhineland Palatinate,code07,8.67
2009,Percentage,Rhineland Palatinate,code07,9.193
