Year,Units,display,title,sex,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,33.4
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,33.0
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,33.2
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,33.3
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,33.9
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,36.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,36.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,37.6
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,38.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,40.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,41.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,42.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,43.4
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,44.5
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,45.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,46.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,47.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,,,48.8
2020,percentage (%),b) target (min),tertiary or post-secondary non-tertiary education,male and female,,,42.0
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.4
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,30.9
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.1
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,31.3
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,32.2
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,34.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,35.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,38.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,39.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,42.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,42.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,44.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,46.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,46.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,48.4
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,50.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,51.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,,,52.6
1999,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.2
2000,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.0
2001,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.2
2002,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.2
2003,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,35.5
2004,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,36.5
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,37.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,39.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,40.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,40.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,40.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,42.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,42.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,43.1
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,44.6
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,,,45.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,42.3
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,43.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,44.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,47.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,47.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,48.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bw,code08,50.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,40.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,41.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,43.6
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,45.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,45.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,45.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,by,code09,48.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,50.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,51.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,53.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,53.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,54.0
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,56.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,be,code11,59.7
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,41.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,44.5
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,42.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,42.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,44.2
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,43.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,bb,code12,45.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,41.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,hb,code04,43.2
