Year,Units,display,title,Value
1990,2030 = 100,a) time series,index overall,76.6
1991,2030 = 100,a) time series,index overall,72.3
1992,2030 = 100,a) time series,index overall,71.3
1993,2030 = 100,a) time series,index overall,73.1
1994,2030 = 100,a) time series,index overall,76.6
1995,2030 = 100,a) time series,index overall,73.1
1996,2030 = 100,a) time series,index overall,76.0
1997,2030 = 100,a) time series,index overall,72.8
1998,2030 = 100,a) time series,index overall,70.1
1999,2030 = 100,a) time series,index overall,74.8
2000,2030 = 100,a) time series,index overall,71.9
2001,2030 = 100,a) time series,index overall,71.1
2002,2030 = 100,a) time series,index overall,69.7
2003,2030 = 100,a) time series,index overall,69.8
2004,2030 = 100,a) time series,index overall,72.4
2005,2030 = 100,a) time series,index overall,71.1
2006,2030 = 100,a) time series,index overall,70.2
2007,2030 = 100,a) time series,index overall,70.2
2008,2030 = 100,a) time series,index overall,70.4
2009,2030 = 100,a) time series,index overall,67.4
2010,2030 = 100,a) time series,index overall,68.0
2011,2030 = 100,a) time series,index overall,66.6
2012,2030 = 100,a) time series,index overall,70.8
2013,2030 = 100,a) time series,index overall,68.0
2014,2030 = 100,a) time series,index overall,67.2
2015,2030 = 100,a) time series,index overall,70.3
2030,2030 = 100,b) target (min),index overall,100.0
1990,2030 = 100,a) time series,sub-index forests,81.6
1991,2030 = 100,a) time series,sub-index forests,77.1
1992,2030 = 100,a) time series,sub-index forests,76.8
1993,2030 = 100,a) time series,sub-index forests,77.8
1994,2030 = 100,a) time series,sub-index forests,80.8
1995,2030 = 100,a) time series,sub-index forests,70.7
1996,2030 = 100,a) time series,sub-index forests,78.0
1997,2030 = 100,a) time series,sub-index forests,76.7
1998,2030 = 100,a) time series,sub-index forests,70.6
1999,2030 = 100,a) time series,sub-index forests,75.5
2000,2030 = 100,a) time series,sub-index forests,73.4
2001,2030 = 100,a) time series,sub-index forests,74.8
2002,2030 = 100,a) time series,sub-index forests,74.3
2003,2030 = 100,a) time series,sub-index forests,78.5
2004,2030 = 100,a) time series,sub-index forests,79.1
2005,2030 = 100,a) time series,sub-index forests,79.6
2006,2030 = 100,a) time series,sub-index forests,78.5
2007,2030 = 100,a) time series,sub-index forests,75.4
2008,2030 = 100,a) time series,sub-index forests,81.6
2009,2030 = 100,a) time series,sub-index forests,73.2
2010,2030 = 100,a) time series,sub-index forests,79.2
2011,2030 = 100,a) time series,sub-index forests,79.8
2012,2030 = 100,a) time series,sub-index forests,87.0
2013,2030 = 100,a) time series,sub-index forests,86.4
2014,2030 = 100,a) time series,sub-index forests,84.0
2015,2030 = 100,a) time series,sub-index forests,90.1
1990,2030 = 100,a) time series,sub-index settlements,80.8
1991,2030 = 100,a) time series,sub-index settlements,73.7
1992,2030 = 100,a) time series,sub-index settlements,68.4
1993,2030 = 100,a) time series,sub-index settlements,75.1
1994,2030 = 100,a) time series,sub-index settlements,71.9
1995,2030 = 100,a) time series,sub-index settlements,75.2
1996,2030 = 100,a) time series,sub-index settlements,85.3
1997,2030 = 100,a) time series,sub-index settlements,77.4
1998,2030 = 100,a) time series,sub-index settlements,75.5
1999,2030 = 100,a) time series,sub-index settlements,74.9
2000,2030 = 100,a) time series,sub-index settlements,69.8
2001,2030 = 100,a) time series,sub-index settlements,69.6
2002,2030 = 100,a) time series,sub-index settlements,63.4
2003,2030 = 100,a) time series,sub-index settlements,59.2
2004,2030 = 100,a) time series,sub-index settlements,66.5
2005,2030 = 100,a) time series,sub-index settlements,66.3
