Year,Units,display,Bundesland,GeoCode,Value
1990,1990 = 100,a) time series,a) germany (total),,100.0
1991,1990 = 100,a) time series,a) germany (total),,96.2
1992,1990 = 100,a) time series,a) germany (total),,92.2
1993,1990 = 100,a) time series,a) germany (total),,91.5
1994,1990 = 100,a) time series,a) germany (total),,90.0
1995,1990 = 100,a) time series,a) germany (total),,89.8
1996,1990 = 100,a) time series,a) germany (total),,91.2
1997,1990 = 100,a) time series,a) germany (total),,88.4
1998,1990 = 100,a) time series,a) germany (total),,86.4
1999,1990 = 100,a) time series,a) germany (total),,83.7
2000,1990 = 100,a) time series,a) germany (total),,83.5
2001,1990 = 100,a) time series,a) germany (total),,84.8
2002,1990 = 100,a) time series,a) germany (total),,83.0
2003,1990 = 100,a) time series,a) germany (total),,82.8
2004,1990 = 100,a) time series,a) germany (total),,81.5
2005,1990 = 100,a) time series,a) germany (total),,79.4
2006,1990 = 100,a) time series,a) germany (total),,80.0
2007,1990 = 100,a) time series,a) germany (total),,77.9
2008,1990 = 100,a) time series,a) germany (total),,78.0
2009,1990 = 100,a) time series,a) germany (total),,72.6
2010,1990 = 100,a) time series,a) germany (total),,75.3
2011,1990 = 100,a) time series,a) germany (total),,73.6
2012,1990 = 100,a) time series,a) germany (total),,73.9
2013,1990 = 100,a) time series,a) germany (total),,75.3
2014,1990 = 100,a) time series,a) germany (total),,72.2
2015,1990 = 100,a) time series,a) germany (total),,72.5
2016,1990 = 100,a) time series,a) germany (total),,72.8
2017,1990 = 100,a) time series,a) germany (total),,72.5
2018,1990 = 100,a) time series,a) germany (total),,69.4
2020,1990 = 100,b) target (max),a) germany (total),,60.0
2030,1990 = 100,b) target (max),a) germany (total),,45.0
2040,1990 = 100,b) target (max),a) germany (total),,30.0
2050,1990 = 100,b) target (max),a) germany (total),,20.0
1990,1990 = 100,a) time series,bw,code08,100.0
1995,1990 = 100,a) time series,bw,code08,103.5
2000,1990 = 100,a) time series,bw,code08,97.1
2003,1990 = 100,a) time series,bw,code08,97.1
2004,1990 = 100,a) time series,bw,code08,95.7
2005,1990 = 100,a) time series,bw,code08,98.1
2006,1990 = 100,a) time series,bw,code08,99.0
2007,1990 = 100,a) time series,bw,code08,90.9
2008,1990 = 100,a) time series,bw,code08,92.8
2009,1990 = 100,a) time series,bw,code08,85.4
2010,1990 = 100,a) time series,bw,code08,87.3
2011,1990 = 100,a) time series,bw,code08,85.6
2012,1990 = 100,a) time series,bw,code08,84.6
2013,1990 = 100,a) time series,bw,code08,90.4
2014,1990 = 100,a) time series,bw,code08,84.7
2015,1990 = 100,a) time series,bw,code08,86.3
2016,1990 = 100,a) time series,bw,code08,88.5
1990,1990 = 100,a) time series,by,code09,100.0
1995,1990 = 100,a) time series,by,code09,101.1
2000,1990 = 100,a) time series,by,code09,98.4
2003,1990 = 100,a) time series,by,code09,92.9
2004,1990 = 100,a) time series,by,code09,91.3
2005,1990 = 100,a) time series,by,code09,88.4
2006,1990 = 100,a) time series,by,code09,89.2
2007,1990 = 100,a) time series,by,code09,82.4
2008,1990 = 100,a) time series,by,code09,87.0
2009,1990 = 100,a) time series,by,code09,86.5
2010,1990 = 100,a) time series,by,code09,89.9
2011,1990 = 100,a) time series,by,code09,88.7
2012,1990 = 100,a) time series,by,code09,88.6
2013,1990 = 100,a) time series,by,code09,89.2
2014,1990 = 100,a) time series,by,code09,85.1
2015,1990 = 100,a) time series,by,code09,85.9
2016,1990 = 100,a) time series,by,code09,87.5
1990,1990 = 100,a) time series,be,code11,100.0
1995,1990 = 100,a) time series,be,code11,90.5
2000,1990 = 100,a) time series,be,code11,86.0
2003,1990 = 100,a) time series,be,code11,76.7
2004,1990 = 100,a) time series,be,code11,72.7
2005,1990 = 100,a) time series,be,code11,71.8
2006,1990 = 100,a) time series,be,code11,71.2
2007,1990 = 100,a) time series,be,code11,62.4
2008,1990 = 100,a) time series,be,code11,65.9
2009,1990 = 100,a) time series,be,code11,64.1
2010,1990 = 100,a) time series,be,code11,70.3
2011,1990 = 100,a) time series,be,code11,61.8
2012,1990 = 100,a) time series,be,code11,62.0
2013,1990 = 100,a) time series,be,code11,64.4
2014,1990 = 100,a) time series,be,code11,60.8
2015,1990 = 100,a) time series,be,code11,58.4
2016,1990 = 100,a) time series,be,code11,59.6
1990,1990 = 100,a) time series,bb,code12,100.0
1995,1990 = 100,a) time series,bb,code12,66.8
2000,1990 = 100,a) time series,bb,code12,78.3
2003,1990 = 100,a) time series,bb,code12,74.8
2004,1990 = 100,a) time series,bb,code12,75.8
2005,1990 = 100,a) time series,bb,code12,76.9
2006,1990 = 100,a) time series,bb,code12,74.8
2007,1990 = 100,a) time series,bb,code12,74.3
2008,1990 = 100,a) time series,bb,code12,72.8
2009,1990 = 100,a) time series,bb,code12,68.0
2010,1990 = 100,a) time series,bb,code12,70.8
2011,1990 = 100,a) time series,bb,code12,71.4
2012,1990 = 100,a) time series,bb,code12,72.3
2013,1990 = 100,a) time series,bb,code12,72.1
2014,1990 = 100,a) time series,bb,code12,70.7
2015,1990 = 100,a) time series,bb,code12,70.7
2016,1990 = 100,a) time series,bb,code12,70.9
1990,1990 = 100,a) time series,hb,code04,100.0
1995,1990 = 100,a) time series,hb,code04,98.1
2000,1990 = 100,a) time series,hb,code04,103.1
2003,1990 = 100,a) time series,hb,code04,106.1
2004,1990 = 100,a) time series,hb,code04,94.7
2005,1990 = 100,a) time series,hb,code04,88.7
2006,1990 = 100,a) time series,hb,code04,92.2
2007,1990 = 100,a) time series,hb,code04,99.1
2008,1990 = 100,a) time series,hb,code04,95.1
2009,1990 = 100,a) time series,hb,code04,91.6
2010,1990 = 100,a) time series,hb,code04,101.5
2011,1990 = 100,a) time series,hb,code04,95.5
2012,1990 = 100,a) time series,hb,code04,96.5
2013,1990 = 100,a) time series,hb,code04,96.7
2014,1990 = 100,a) time series,hb,code04,92.4
2015,1990 = 100,a) time series,hb,code04,95.9
2016,1990 = 100,a) time series,hb,code04,93.3
1990,1990 = 100,a) time series,hh,code02,100.0
1995,1990 = 100,a) time series,hh,code02,104.9
2003,1990 = 100,a) time series,hh,code02,98.7
2004,1990 = 100,a) time series,hh,code02,98.6
2005,1990 = 100,a) time series,hh,code02,94.9
2006,1990 = 100,a) time series,hh,code02,93.5
2007,1990 = 100,a) time series,hh,code02,90.7
2008,1990 = 100,a) time series,hh,code02,91.5
2009,1990 = 100,a) time series,hh,code02,92.4
2010,1990 = 100,a) time series,hh,code02,95.5
2011,1990 = 100,a) time series,hh,code02,90.1
2012,1990 = 100,a) time series,hh,code02,89.3
2013,1990 = 100,a) time series,hh,code02,87.2
2014,1990 = 100,a) time series,hh,code02,95.2
2015,1990 = 100,a) time series,hh,code02,121.0
2016,1990 = 100,a) time series,hh,code02,123.9
1990,1990 = 100,a) time series,he,code06,100.0
1995,1990 = 100,a) time series,he,code06,107.0
2000,1990 = 100,a) time series,he,code06,99.9
2003,1990 = 100,a) time series,he,code06,97.0
2004,1990 = 100,a) time series,he,code06,95.1
2005,1990 = 100,a) time series,he,code06,92.8
2006,1990 = 100,a) time series,he,code06,90.9
2007,1990 = 100,a) time series,he,code06,85.5
2008,1990 = 100,a) time series,he,code06,86.5
2009,1990 = 100,a) time series,he,code06,83.0
2010,1990 = 100,a) time series,he,code06,84.5
2011,1990 = 100,a) time series,he,code06,80.9
2012,1990 = 100,a) time series,he,code06,81.1
2013,1990 = 100,a) time series,he,code06,80.6
2014,1990 = 100,a) time series,he,code06,75.5
2015,1990 = 100,a) time series,he,code06,78.9
2016,1990 = 100,a) time series,he,code06,81.5
1990,1990 = 100,a) time series,mv,code13,100.0
1995,1990 = 100,a) time series,mv,code13,74.7
2000,1990 = 100,a) time series,mv,code13,74.7
2003,1990 = 100,a) time series,mv,code13,73.2
2004,1990 = 100,a) time series,mv,code13,75.2
2005,1990 = 100,a) time series,mv,code13,71.6
2006,1990 = 100,a) time series,mv,code13,74.5
2007,1990 = 100,a) time series,mv,code13,68.0
2008,1990 = 100,a) time series,mv,code13,72.6
2009,1990 = 100,a) time series,mv,code13,64.6
2010,1990 = 100,a) time series,mv,code13,69.5
2011,1990 = 100,a) time series,mv,code13,67.0
2012,1990 = 100,a) time series,mv,code13,69.2
2013,1990 = 100,a) time series,mv,code13,67.7
2014,1990 = 100,a) time series,mv,code13,68.3
1990,1990 = 100,a) time series,ni,code03,100.0
2000,1990 = 100,a) time series,ni,code03,94.2
2004,1990 = 100,a) time series,ni,code03,89.2
2006,1990 = 100,a) time series,ni,code03,89.4
2008,1990 = 100,a) time series,ni,code03,88.1
2009,1990 = 100,a) time series,ni,code03,85.9
2010,1990 = 100,a) time series,ni,code03,87.6
2011,1990 = 100,a) time series,ni,code03,86.7
2012,1990 = 100,a) time series,ni,code03,84.3
2013,1990 = 100,a) time series,ni,code03,85.3
2014,1990 = 100,a) time series,ni,code03,86.7
2015,1990 = 100,a) time series,ni,code03,86.5
2016,1990 = 100,a) time series,ni,code03,85.7
1990,1990 = 100,a) time series,nw,code05,100.0
1995,1990 = 100,a) time series,nw,code05,102.4
2000,1990 = 100,a) time series,nw,code05,95.0
2003,1990 = 100,a) time series,nw,code05,94.5
2004,1990 = 100,a) time series,nw,code05,92.4
2005,1990 = 100,a) time series,nw,code05,89.2
2006,1990 = 100,a) time series,nw,code05,89.9
2007,1990 = 100,a) time series,nw,code05,90.6
2008,1990 = 100,a) time series,nw,code05,89.7
2009,1990 = 100,a) time series,nw,code05,81.4
2010,1990 = 100,a) time series,nw,code05,84.9
2011,1990 = 100,a) time series,nw,code05,82.8
2012,1990 = 100,a) time series,nw,code05,84.0
2013,1990 = 100,a) time series,nw,code05,82.6
2014,1990 = 100,a) time series,nw,code05,80.0
1990,1990 = 100,a) time series,rp,code07,100.0
1995,1990 = 100,a) time series,rp,code07,110.1
2000,1990 = 100,a) time series,rp,code07,74.3
2003,1990 = 100,a) time series,rp,code07,70.0
2004,1990 = 100,a) time series,rp,code07,70.2
2005,1990 = 100,a) time series,rp,code07,68.6
2006,1990 = 100,a) time series,rp,code07,69.5
2007,1990 = 100,a) time series,rp,code07,69.8
2008,1990 = 100,a) time series,rp,code07,72.3
2009,1990 = 100,a) time series,rp,code07,70.5
2010,1990 = 100,a) time series,rp,code07,66.9
2011,1990 = 100,a) time series,rp,code07,62.5
2012,1990 = 100,a) time series,rp,code07,62.5
2013,1990 = 100,a) time series,rp,code07,65.1
2014,1990 = 100,a) time series,rp,code07,61.3
2015,1990 = 100,a) time series,rp,code07,62.1
2016,1990 = 100,a) time series,rp,code07,62.8
1990,1990 = 100,a) time series,sl,code10,100.0
1995,1990 = 100,a) time series,sl,code10,96.3
2000,1990 = 100,a) time series,sl,code10,98.7
2003,1990 = 100,a) time series,sl,code10,95.5
2004,1990 = 100,a) time series,sl,code10,96.5
2005,1990 = 100,a) time series,sl,code10,96.9
2006,1990 = 100,a) time series,sl,code10,91.0
2007,1990 = 100,a) time series,sl,code10,97.8
2008,1990 = 100,a) time series,sl,code10,85.8
2009,1990 = 100,a) time series,sl,code10,69.3
2010,1990 = 100,a) time series,sl,code10,72.5
2011,1990 = 100,a) time series,sl,code10,78.5
2012,1990 = 100,a) time series,sl,code10,80.7
2013,1990 = 100,a) time series,sl,code10,84.7
2014,1990 = 100,a) time series,sl,code10,77.7
2015,1990 = 100,a) time series,sl,code10,79.4
1990,1990 = 100,a) time series,sn,code14,100.0
1995,1990 = 100,a) time series,sn,code14,67.3
2000,1990 = 100,a) time series,sn,code14,46.9
2003,1990 = 100,a) time series,sn,code14,54.6
2004,1990 = 100,a) time series,sn,code14,53.4
2005,1990 = 100,a) time series,sn,code14,52.2
2006,1990 = 100,a) time series,sn,code14,53.1
2007,1990 = 100,a) time series,sn,code14,51.3
2008,1990 = 100,a) time series,sn,code14,50.5
2009,1990 = 100,a) time series,sn,code14,51.0
2010,1990 = 100,a) time series,sn,code14,51.2
2011,1990 = 100,a) time series,sn,code14,49.0
2012,1990 = 100,a) time series,sn,code14,50.9
2013,1990 = 100,a) time series,sn,code14,53.5
2014,1990 = 100,a) time series,sn,code14,53.2
2015,1990 = 100,a) time series,sn,code14,51.5
2016,1990 = 100,a) time series,sn,code14,51.7
1990,1990 = 100,a) time series,st,code15,100.0
1995,1990 = 100,a) time series,st,code15,56.2
2000,1990 = 100,a) time series,st,code15,58.6
2003,1990 = 100,a) time series,st,code15,63.7
2004,1990 = 100,a) time series,st,code15,63.0
2005,1990 = 100,a) time series,st,code15,63.0
2006,1990 = 100,a) time series,st,code15,62.8
2007,1990 = 100,a) time series,st,code15,61.3
2008,1990 = 100,a) time series,st,code15,63.1
2009,1990 = 100,a) time series,st,code15,65.3
2010,1990 = 100,a) time series,st,code15,63.8
2011,1990 = 100,a) time series,st,code15,63.7
2012,1990 = 100,a) time series,st,code15,64.1
2013,1990 = 100,a) time series,st,code15,63.2
2014,1990 = 100,a) time series,st,code15,59.9
2015,1990 = 100,a) time series,st,code15,58.6
1990,1990 = 100,a) time series,sh,code01,100.0
1995,1990 = 100,a) time series,sh,code01,95.7
2000,1990 = 100,a) time series,sh,code01,90.3
2003,1990 = 100,a) time series,sh,code01,89.3
2004,1990 = 100,a) time series,sh,code01,85.7
2005,1990 = 100,a) time series,sh,code01,83.4
2006,1990 = 100,a) time series,sh,code01,83.8
2007,1990 = 100,a) time series,sh,code01,76.2
2008,1990 = 100,a) time series,sh,code01,82.2
2009,1990 = 100,a) time series,sh,code01,79.9
2010,1990 = 100,a) time series,sh,code01,81.2
2011,1990 = 100,a) time series,sh,code01,77.1
2012,1990 = 100,a) time series,sh,code01,78.5
2013,1990 = 100,a) time series,sh,code01,78.9
2014,1990 = 100,a) time series,sh,code01,75.9
2015,1990 = 100,a) time series,sh,code01,75.5
2016,1990 = 100,a) time series,sh,code01,75.2
1990,1990 = 100,a) time series,th,code16,100.0
1995,1990 = 100,a) time series,th,code16,53.7
2000,1990 = 100,a) time series,th,code16,49.0
2003,1990 = 100,a) time series,th,code16,47.4
2004,1990 = 100,a) time series,th,code16,46.7
2005,1990 = 100,a) time series,th,code16,45.3
2006,1990 = 100,a) time series,th,code16,44.4
2007,1990 = 100,a) time series,th,code16,41.4
2008,1990 = 100,a) time series,th,code16,42.6
2009,1990 = 100,a) time series,th,code16,41.1
2010,1990 = 100,a) time series,th,code16,41.6
2011,1990 = 100,a) time series,th,code16,39.4
2012,1990 = 100,a) time series,th,code16,40.1
2013,1990 = 100,a) time series,th,code16,40.6
2014,1990 = 100,a) time series,th,code16,38.7
2015,1990 = 100,a) time series,th,code16,38.7
2016,1990 = 100,a) time series,th,code16,39.6
