Year,Units,display,Bundesland,GeoCode,Value
1991,percentage (%),a) time series,,,2.4
1992,percentage (%),a) time series,,,2.28
1993,percentage (%),a) time series,,,2.21
1994,percentage (%),a) time series,,,2.13
1995,percentage (%),a) time series,,,2.14
1996,percentage (%),a) time series,,,2.14
1997,percentage (%),a) time series,,,2.19
1998,percentage (%),a) time series,,,2.22
1999,percentage (%),a) time series,,,2.35
2000,percentage (%),a) time series,,,2.41
2001,percentage (%),a) time series,,,2.4
2002,percentage (%),a) time series,,,2.44
2003,percentage (%),a) time series,,,2.47
2004,percentage (%),a) time series,,,2.44
2005,percentage (%),a) time series,,,2.44
2006,percentage (%),a) time series,,,2.47
2007,percentage (%),a) time series,,,2.46
2008,percentage (%),a) time series,,,2.62
2009,percentage (%),a) time series,,,2.74
2010,percentage (%),a) time series,,,2.73
2011,percentage (%),a) time series,,,2.81
2012,percentage (%),a) time series,,,2.88
2013,percentage (%),a) time series,,,2.84
2014,percentage (%),a) time series,,,2.88
2015,percentage (%),a) time series,,,2.93
2016,percentage (%),a) time series,,,2.94
2017,percentage (%),a) time series,,,3.07
2018,percentage (%),a) time series,,,3.13
2019,percentage (%),a) time series,,,3.18
2010,percentage (%),b) target (min),,,3.5
2011,percentage (%),b) target (min),,,3.5
2012,percentage (%),b) target (min),,,3.5
2013,percentage (%),b) target (min),,,3.5
2014,percentage (%),b) target (min),,,3.5
2015,percentage (%),b) target (min),,,3.5
2016,percentage (%),b) target (min),,,3.5
2017,percentage (%),b) target (min),,,3.5
2018,percentage (%),b) target (min),,,3.5
2019,percentage (%),b) target (min),,,3.5
2025,percentage (%),b) target (min),,,3.5
2000,percentage (%),a) time series,bw,code08,3.76
2001,percentage (%),a) time series,bw,code08,3.71
2002,percentage (%),a) time series,bw,code08,3.75
2003,percentage (%),a) time series,bw,code08,3.75
2004,percentage (%),a) time series,bw,code08,3.74
2005,percentage (%),a) time series,bw,code08,4.08
2006,percentage (%),a) time series,bw,code08,4.02
2007,percentage (%),a) time series,bw,code08,4.16
2008,percentage (%),a) time series,bw,code08,4.42
2009,percentage (%),a) time series,bw,code08,4.63
2010,percentage (%),a) time series,bw,code08,4.45
2011,percentage (%),a) time series,bw,code08,4.8
2012,percentage (%),a) time series,bw,code08,4.9
2013,percentage (%),a) time series,bw,code08,4.75
2014,percentage (%),a) time series,bw,code08,4.85
2015,percentage (%),a) time series,bw,code08,4.9
2016,percentage (%),a) time series,bw,code08,4.93
2017,percentage (%),a) time series,bw,code08,5.64
2018,percentage (%),a) time series,bw,code08,5.68
2000,percentage (%),a) time series,by,code09,2.83
2001,percentage (%),a) time series,by,code09,2.92
2002,percentage (%),a) time series,by,code09,2.9
2003,percentage (%),a) time series,by,code09,3.0
2004,percentage (%),a) time series,by,code09,2.93
2005,percentage (%),a) time series,by,code09,2.9
